"영화명","누적매출액","누적관객수","스크린수","상영횟수","개봉일","배급사","등급","장르","감독","배우","제작사","cluster"
"반창꼬",17911274787,2475797,466,46879,"2012-12-19","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","멜로/로맨스","정기훈","고수,한효주,마동석,김성오,쥬니,진서연,장원종,전범희,전성환,전효선,조은비,조현우,김영웅,하정희,한제인,홍지원,박병렬,박이슬,송용운,정진영,조성현,조민기,안지혜","(주)영화사오름",1
"방자전",22490392000,2985556,495,67572,"2010-06-02","CJ ENM","청소년관람불가","사극,코미디,멜로/로맨스","김대우","김주혁,류승범,조여정,류현경,오달수,송새벽,오정세,공형진,김성령,최무성,김선영,김민교,조창현,안정희,박은혜,조명행,전세하,김형석,박영미,문원주,류현상,송슬기,박대희,유은아,정다혜,윤주영,최성일,김탁호,이진운,양시은,송지인,이민웅,최교식,류제승,이제훈,남진복,김태훈","(주)바른손이앤에이,시오필름(주),(주)더타워픽쳐스",2
"백두산",52905789770,6290502,1971,99915,"2019-12-19","(주)씨제이이엔엠,(주)덱스터스튜디오","12세이상관람가","어드벤처,드라마","이해준,김병서","이병헌,하정우,마동석,전혜진,배수지,손성찬,서명찬,양지수,박준영,양대혁,김재철,박지훈,변우석,지화섭,김지민,이정민,허승,차시원,김훈만,손영순,박태산,우진혁,신성일,김세윤,김정현,허지나,김지훈,한창민,남상지,김연교,정윤하,김하라,이은희,이상원,옥자연,한수현,강신철,이경영,조한철,최광일,김시아,임형국,박주환,남성준,김민식,박지홍,서현우,김준원,남문철,박성근,전도연,노종면,이광연,이종원,김경수,나경철,박윤미,염상훈,차해리,김태은,서석규,서문호,장재희,나경진,김효준,김성혁,권수진,임윤비,장근영,서문호,한동훈,오지영,박정숙,홍지아,임수아,권귀덕,김기태,김찬욱,김양원,김시원,김대경,강규현,박범석,이재한,임무빈,장나라,서영재,김통령,최정현,이한결,안구희,정한빈,최홍락,정상균,이육헌,권혁일,이두원,이창석,장용희,김동빈,김영경,김진문,민병욱,윤슬기,장태영,정진혁,한동훈,백경윤,고한민,허승,양지수,한동훈,서문호,김연교","주식회사 덱스터 픽쳐스,(주)퍼펙트스톰필름,(주)씨제이이엔엠",3
"범죄도시",56322153349,6880546,1315,149389,"2017-10-03","메가박스중앙(주)플러스엠,(주)키위미디어그룹","청소년관람불가","범죄,액션","강윤성","마동석,윤계상,조재윤,최귀화,박상규,유지연,최성재,이경원,이태규,진선규,허동원,김성규,박지환,오민애,허성태,이성우,민무제,한성천,홍기준,배진웅,정인기,서문호,윤주,박기륭,정인겸,하준,김용호","(주)홍필름,(주)비에이엔터테인먼트",4
"범죄와의 전쟁: 나쁜놈들 전성시대",36540327500,4720050,713,91892,"2012-02-02","(주)쇼박스","청소년관람불가","범죄,드라마","윤종빈","최민식,하정우,조진웅,마동석,곽도원,김성균,박성광,이철민,임자연,임헌호,권종현,박재현,박태호,신수정,이강곤,이낙준,권율,송영창,박병은,김홍파,이희준,유재명,장준녕,김종수,오만석,정재헌,고규필,이세랑,박인수,권태원,강신철,한성천,이유준,김응수,안민영,노태엽,김종구,이윤희,김재영,손병욱,이승민,김영선","(주)팔레트픽처스,(주)쇼박스",3
"베를린",52356534637,7166453,894,111749,"2013-01-30","(주)씨제이이엔엠","15세이상관람가","액션","류승완","하정우,한석규,류승범,전지현,이경영,최무성,곽도원,김서형,백승익,배정남,곽진석,김서원","(주)외유내강,(주)씨제이이엔엠",4
"베테랑",105169264250,13414200,1115,199240,"2015-08-05","(주)씨제이이엔엠","15세이상관람가","액션,드라마","류승완","황정민,유아인,유해진,오달수,장윤주,김시후,오대환,정웅인,정만식,송영창,진경,유인영,박소담,이동휘,배성우,천호진,이채은,조덕현,신지수,권지훈,정윤헌,장한승,김선웅,김성종,우영택,김민재,김재현,김태용,김지수,박지윤,박지혜,손성민,장소연,유재명,배제기,류아벨,정재헌,안길강,마동석,김응수,고규필,서현우,강영묵,한성천,김기천,이문석,이상희,김서원","(주)외유내강,(주)필름케이",5
"변호인",82872254800,11374859,925,152276,"2013-12-18","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","드라마","양우석","송강호,김영애,오달수,곽도원,임시완,송영창,정원중,조민기,이항나,이성민,차광수,한기중,심희섭,김동현,조완기,차은재,최주희,주명철,조선묵,유하복,김봉환,지건우,최은석,최현,최정현,박상현,신안진,조기왕,조유신,이선희,장리우,정준원,이정은,이진희,민경옥,정성화,박성근,신승용,김찬이,원호섭,윤탁,한승도,조용준,정재민,권오진,이설구,노영하,장우진,이해성,김승태,신욱,황건,권영국,양명헌,정원조,윤준호,이호원,설창희,홍도성,김형석,김호진,양정인,이동현,이정건,김리후,육미옥,김호연,백성식,김선주,김가영,이준기,이형은,김서영,오병남,전광진,조현덕,김경인,이상호,김성민,류수영,박수영,이경인,최태환,김서영,이현정,설창희,양도현","위더스필름(주)",5
"보안관",20844488409,2588628,1091,63709,"2017-05-03","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","범죄,코미디","김형주","이성민,조진웅,김성균,김종수,조우진,임현성,배정남,염진환,박윤호,박지훈,신지훈,이규섭,이동현,최형욱,이윤희,이정은,손여은,현봉식,손석배,배명진,강덕중,김재영,이운산,박윤호,양지수,김언수","(주)영화사 월광,(주)사나이픽처스",1
"봉오동 전투",40588648538,4787538,1476,107030,"2019-08-07","(주)쇼박스","15세이상관람가","사극,액션,드라마","원신연","유해진,류준열,조우진,키타무라 카즈키,이케우치 히로유키,박지환,최유화,성유빈,이재인,다이고 코타로,고민시,지웅배,양현민,김기태,김규백,강민재,박도하,동윤석,곽진석,김대건,박시윤,권혁성,박영복,김경로,김경준,김경희,김관수,박재형,박준성,박지열,손우진,김동규,박훈,박희순,배성민,김두현,백경록,백승환,안성진,유경훈,김병국,어주선,오상무,오상윤,오승호,오진석,윤병희,김세한,윤선용,김현민,이정민,최민식,장세용,김현철,허인구,허인범,이준우,장의돈,김재현,홍범기,홍상표,장현석,장현정,전동현,전두식,홍진기,홍희자,윤종구,이수호,강내균,정미남,김연,강신구,강신형,이경욱,강준석,이관훈,이광기,고한민,고한수,지성은,곽예준,권성영,이대광,김길중,이도용,김리승,이연빈,김학충,이한종,김승완,김용석,임세운,임정환,이예지,임동욱,조셉,조영동,노재훈,조원빈,김철윤,주광현,남동명,김태형,원일,문동식,원진,위민국,김태준,유명훈,노시홍,지명근,정광희,진근호,정동근,민상우,정윤철,신한울,윤서진,채장열,이인규,정재우,박범석,이권식,심소영,김유진,이민혁,박승준,박야성,최유화,이웅빈,손민호,양정두,장인수,여윤호,최홍락,염석무,전영인,최희열,전중용,오문강,서정식,오재윤,장나라,장래군,원풍연,장병수,오현근,백종승,백효성,한국인,한도진,황태인,한태양,홍민수,곽진석","(주)빅스톤픽쳐스,(주)더블유픽처스,(주)쇼박스",3
"봉이 김선달",16227052642,2051277,942,51418,"2016-07-06","(주)씨제이이엔엠","12세이상관람가","사극","박대민","유승호,조재현,고창석,라미란,시우민,연우진,전석호,서예지,주영호,박예슬,박상현,박진성,유일한,이선희,이규형,송재룡,권태원,김승훈,김경룡,최정현,조현식,김정화","(주)엠픽처스,(주)에스엔케이픽처스",1
"부당거래",20996302500,2722996,502,69703,"2010-10-28","CJ ENM","청소년관람불가","범죄,드라마","류승완","황정민,김승훈,류승범,유해진,천호진,마동석,김원범,최정현,황병국,조준현,조철현,박형준,한동욱,한상욱,한성희,류수경,한재덕,강유미,서지영,박광호,박미숙,박민정,박민정,박민정,전봉수,전진영,박세준,임정언,권성현,최우성,온세웅,연영식,오상진,김종민,이춘연,이유빈,백승익,오승현,이채은,이미도,이희준,오정세,안길강,김수현,조영진,정만식,차은재,이화룡,김규남,김기천,곽자형,곽진석,김서원","필름트레인,(주)외유내강",1
"부러진 화살",25937273000,3459864,530,71593,"2012-01-18","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","드라마","정지영","안성기,박원상,나영희,김지호,이승훈,이춘연,이홍표,임태연,장길수,장현남,전윤희,조세래,조완기,조유미,최린,최필선,한현근,허웅,이미화,김지연,이익태,이제희,이지석,배연태,백성기,신종훈,오대환,정원중,조동인,김준배,조덕제,박길수,한기중,이제희,김응수,한사명,이정민","(주)아우라픽처스",2
"부산행",93182579048,11566862,1788,151350,"2016-07-20","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","액션,스릴러","연상호","공유,김정희,정유미,김율호,이주원,이영욱,마동석,김찬호,김운,최우식,안소희,김의성,김수안,박민우,박민혁,임종훈,박종관,장문성,박혜진,손지훈,손지훈,연상호,조춘호,지동현,윤미중,이동하,이윤상,최창수,편준의,허성우,황유경,최용훈,김근영,이주실,예수정,김대현,한지은,박명신,이육헌,김시우,백인권,차청화,류성록,주광현","(주)영화사레드피터",5
"뷰티 인사이드",16184831031,2057896,648,53350,"2015-08-20","(주)넥스트엔터테인먼트월드(NEW)","12세이상관람가","판타지,멜로/로맨스","백","한효주,김대명,도지한,배성우,박신혜,이범수,박서준,김상호,천우희,우에노 주리,이재준,김민재,이현우,조달환,이진욱,홍다미,서강준,김희원,이동욱,고아성,김주혁,유연석,이동휘,문숙,이경영,최용민,이미도,신동미,김시은,유재상,오상철,임예진,정두원,박지현,정은교,조유덕,차수보,차정환,손영진,신예진,유보라,윤여진,이미애,홍승철,이성준,이소연,이슬기,이승대,이진성,공민정,고규필,이봄,손슬기,박근록,이지민,우상기,박민수,권기하,장의수,손성찬,윤기창","(주)용필름",1
"블라인드",18390012500,2367942,404,49358,"2011-08-10","(주)넥스트엔터테인먼트월드(NEW)","청소년관람불가","스릴러","안상훈","김하늘,유승호,조희봉,양영조,최지호,조은서,박주혜,조하나,김기준,임채경,민소연,이보미,박영,최은석,이은이,박보검,오대환,이한솔,박충선,성유빈,백익남,김사희","(주)문와쳐",1
"블랙머니",20863134010,2478964,1141,77469,"2019-11-13","(주)에이스메이커무비웍스","12세이상관람가","범죄,드라마","정지영","조진웅,이하늬,이경영,강신일,최덕문,조한철,허성태,강도연,정인기,윤진영,박영빈,최정현,엄지만,천재홍,김태향,고인배,권반석,김곤,김산,김강훈,김누리,김대근,김동규,김동인,김서하,김선희,김윤도,김재록,김종언,김종태,김주아,김진구,김진래,김형석,김형진,김호연,나연수,남명렬,남문철,노성후,노진원,류승수,문성근,문정웅,박민관,박상혁,박승일,박응수,박재완,박종범,박종희,박주미,박지현,박희진,배장수,백예현,백옥균,변동욱,서현철,서호철,선학,성병숙,송동환,송현기,신동진,신영진,엄지만,오상준,오진호,우상희,우수빈,유광수,유민주,유태오,윤병희,윤영식,윤진영,천성우,이가경,이가경,이광연,이나라,최정현,최준혁,최지연,이성민,이승훈,이시우,한갑수,한담희,이예영,이용재,한수호,이은정,허성태,이재용,이종호,이진영,황윤호,이진혁,이태형,임영혜,임정민,조정환,임채선,조한철,조형일,조혜인,장래군,진시원,장원진,정재원,전시아,정민규,정민성,정인기,정의욱,권소현,이종운","유한회사 질라라비,(주)아우라픽처스",1
"사도",48846045501,6247651,1210,124263,"2015-09-16","(주)쇼박스","12세이상관람가","사극","이준익","송강호,유아인,문근영,전혜진,김해숙,박원상,진지희,박소담,서예지,이효제,곽동호,최희영,정호,이현철,김상훈,이민혜,김경원,김대환,김민규,양지혜,안현숙,김우진,이대연,최덕문,정석용,최민철,안정우,조승연,차순배,박명신,박윤호,권범택,김서원,안태훈","(주)타이거픽쳐스",3
"사랑",13446137500,2023174,381,54789,"2007-09-19","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","멜로/로맨스,액션","곽경택","주진모,박시연,김민준,김혜정,최지은,임성규,주현,박진우,최성우,박시완,김광규,임현성,손희순,진현우","(주)진인사필름,(주)태원엔터테인먼트",1
"사바하",20007508194,2398519,1174,78096,"2019-02-20","(주)씨제이이엔엠","15세이상관람가","미스터리,스릴러","장재현","이정재,박정민,이재인,유지태,정진영,진선규,이다윗,배해선,차래형,황정민,김근영,윤경호,지승현,이항나,정동환,문창길,오윤홍,문숙,강나영,김두은,김유린,김지후,조수지,신보경,정병두,이재순,배선엽,곽영신,유승희,장지민,정혜은,강우진,윤창희,김근우,이치민,하승협,권해성,손병우,박상현,김찬빈,한유한,이월진,박재만,박영래,이광석,한형주,류현주,손연서,유선이,강민재,남도현,강성철,강지현,류경인,권귀빈,박수미,권오준,민설애,김가은,김금순,박종범,설시연,박지윤,박지환,박진영,박훈,김명희,백승철,신유진,안성진,안현빈,김범수,오누리,노유림,옥영진,옥주리,김소숙,강민지,임현주,이상우,정재은,임효진,김현정,이주실,허다정,이준구,정한호,장영애,권태호,김홍파,김정훈,조한준,이문석,이수정,김승현,황인준,정미경,조한아름,이건창,김지수,진선규,정서인,차순배,권해성,이대현,김진옥,표성수,표예리,한다경,이한울,이한울,김태윤,이은주,김유나,이재진,장희욱,박지윤,박규범","(주)외유내강,(주)필름케이",1
"살인자의 기억법",21375287492,2658589,1064,88686,"2017-09-06","(주)쇼박스","15세이상관람가","범죄,스릴러","원신연","설경구,김남길,설현,오달수,이현명,장정윤,전동성,전동성,전동성,전승표,백연정,백연정,정동석,정동석,유지현,윤선용,추동우,함연주,이종건,박상욱,박상운,전승표,김정영,이병준,김혜윤,최유송,김경민,정인겸,엄지만","(주)쇼박스,(주)더블유픽처스,(주)그린피쉬,영화사 이창",1
"색즉시공 시즌2",13466476000,2002423,390,41017,"2007-12-12","CJ ENM","청소년관람불가","코미디","윤태윤","임창정,송지효,최성국,신이,김태호,김형일,정혜윤,홍지영,박민아,양현주,이진운,김정현,이상윤,박영수,김정민,송재룡","(주)두사부필름",1
"설국열차",67012235200,9350323,1128,124858,"2013-08-01","(주)씨제이이엔엠","15세이상관람가","SF,액션","봉준호","크리스 에반스,송강호,에드 해리스,존 허트,틸다 스윈튼,제이미 벨,옥타비아 스펜서,이완 브렘너,고아성,알리슨 필,허찬","(주)모호필름,오퍼스픽쳐스(유)",4
"세븐 데이즈",13720377000,2048339,305,47249,"2007-11-14","(주)프라임엔터테인먼트","청소년관람불가","스릴러,범죄","원신연","김윤진,김미숙,박희순,최명수,장항선,양진우,정동환,이도겸,조덕현,서동수,신현종,길해연,강나일,신영훈,김남원,김노경,유성철,윤재웅,임경진,오현철,김정필,신성일,오광록,옥지영,권병길,진용욱,정종열,곽진석","(주)영화사윤앤준",1
"소원",18529880600,2711086,651,72330,"2013-10-02","롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","드라마","이준익","설경구,엄지원,이레,김해숙,김상호,라미란,양진성,이승택,하진,조복래,안세하,서현우,권태원,강신철,김미경,정민성","(주)필름모멘텀",1
"수상한 그녀",62710880849,8658800,1027,136985,"2014-01-22","(주)씨제이이엔엠","15세이상관람가","드라마","황동혁","심은경,나문희,박인환,성동일,이진욱,김현숙,황정민,김슬기,박형우,신재훈,박인환,이태식,박재홍,서진호,양태규,정상원,정은임,정종혁,조명행,진영,한상경,한흥석,김경아,이주희,김동욱,김동희,김민준,김선하,김순찬,김영웅,김용진,김재섭,김정원,박선희,한지은,김수현,황영희,장광,전우재,강필선,김가희,황승언,임현성,정인기,이장유,하연주,박혜진,김남순,조혜선","(주)예인플러스엔터테인먼트,아이앤코스모스(주)시네와이즈필름",4
"숨바꼭질",39602995500,5604106,779,88064,"2013-08-14","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","스릴러","허정","손현주,문정희,전미선,장채린,김수안,김원해,노수산나,정준원,김근영,성유빈,주석태,정민성,김혜윤,김자영","(주)드림캡쳐",3
"스물",23563705686,3044859,926,100167,"2015-03-25","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","코미디,드라마","이병헌","김우빈,이준호,강하늘,정덕희,주창욱,권지훈,오하늬,오현경,이성두,정소민,안재홍,이유비,김의성,김종수,민지,황미영,서호철,박명신,양현민,허준석,한준우,백수희,차민지,정주연,홍완표,곽진석","(주)영화나무,(주)아이에이치큐",2
"스파이",24512378305,3436012,785,72804,"2013-09-05","(주)씨제이이엔엠","15세이상관람가","액션","이승준","설경구,문소리,다니엘 헤니,고창석,한예리,라미란,서승인,이대수,이성제,최승현,오대환,이무생,강석철,김종수,조영진,김소진,차순배,서현우,이나라,박지연,정인기,한이진,양도현,김송일","(주)제이케이필름,(주)씨제이이엔엠",2
"시동",21236477800,2525986,1515,58603,"2019-12-18","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","드라마","최정열","마동석,박정민,정해인,염정아,최성은,김종수,이해운,성혁,손석배,홍인,이수빈,방은정,허준석,김미화,조재영,김대곤,강덕중,박성일,백주희,김자영,윤경호,고두심,김경덕,김민재,박해준,류성현,권혁범,정의욱,유수빈,조대희,차우진,조한준,이태형,승의열,류제승,임성재,김원목,곽수정,이문석,정병두,서문호,강태수,박원준,이육헌,김시원,김통령,하재열,최현종,임동민,김기태,선율우,오재세,우광제,이한결,정상균,정운,최홍락,선우,강윤혜,김보람,김해정,민서희,전경석,김주아,박혜영","(주)외유내강",1
"시라노; 연애조작단",19838443000,2684798,415,77739,"2010-09-16","롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","멜로/로맨스,코미디","김현석","엄태웅,이민정,최다니엘,박신혜,박철민,전아민,송새벽,류현경,김유경,박은성,조재형,송다은,한대룡,서대현,김대인,김상렬,이병규,유일한,이미도,이미소,김지영,이대연,권해효,원현준,김유경","(주)명필름",1
"식객",18979312500,2964374,406,67299,"2007-11-01","CJ ENM","12세이상관람가","드라마","전윤수","김강우,이하나,이태리,임원희,김성원,함영희,김효석,김명자,김미수,정진,김현구,이동근,유재영,이석은,전민우,전병문,박상인,정주현,이기석,이기준,양우진,김종대,정진,허영만,정은표,오정세,박길수,안길강,전국환,김상호,권병길,정진,이주실","쇼이스트(주)",2
"신과함께-인과 연",102677675409,12276350,2235,180042,"2018-08-01","롯데컬처웍스(주)롯데엔터테인먼트","12세이상관람가","판타지,드라마","김용화","하정우,주지훈,김향기,마동석,김동욱,이정재,김기태,오희준,도경수,이준혁,이수봉,이용희,이우주,이우주,이준혁,이지향,이지향,이지혜,김지안,김철구,김태준,안용우,김학충,노남석,장재욱,전종석,박지선,박찬영,정진영,정지훈,권훈,권수정,김대근,김대현,김동욱,김민석,안지호,강민,조한철,임철수,민무제,강신철,홍기준,장광,정아미,김민종,홍인,류제승,최현종,김그림,양지수,강재은,전승재,정진영","리얼라이즈픽쳐스(주),(주)덱스터스튜디오",5
"신과함께-죄와 벌",115707627637,14411775,1912,213315,"2017-12-20","롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","판타지,드라마","김용화","하정우,차태현,주지훈,김향기,마동석,김동욱,도경수,오달수,임원희,장광,정해균,김수안,이정재,김해숙,이경영,김하늘,최용훈,강소백,정수윤,이수봉,이승준,이지향,김태준,정지훈,예수정,김기태,성유빈,오희준,이준혁,유수빈,윤지온,임철수,나철,강길우,김민종,홍인,정순원,김그림,박윤호,양지수,김지나","리얼라이즈픽쳐스(주),(주)덱스터스튜디오",5
"신기전",24326346000,3728429,585,78463,"2008-09-04","CJ ENM","15세이상관람가","사극,드라마,액션,전쟁","김유진","정재영,한은정,안성기,허준호,김명수,신정근,조원희,이광희,박윤희,조주현,최만수,박보람,박성배,이승근,이연우,김진규,이기오,주부진,이정인,김용재,이영수,김서현,김강일,김명국,차순배,리우진,이람","(주)시네마서비스글로벌",2
"신세계",34881330905,4682492,671,90581,"2013-02-21","(주)넥스트엔터테인먼트월드(NEW)","청소년관람불가","범죄,액션","박훈정","이정재,최민식,황정민,박성웅,송지효,정영기,이경영,정군,정민욱,정종화,최봉록,권지훈,한동욱,한재덕,허명행,남경민,신수정,연영식,김병옥,김홍파,장광,정재헌,김윤성,최일화,리우진,박인수,권태원,정민성,류성현,곽진석,김서원","(주)사나이픽처스,(주)페퍼민트앤컴퍼니,(주)대명문화공장,(주)파트너스케이",3
"신의 한 수",28812027456,3566852,794,77110,"2014-07-03","(주)쇼박스","청소년관람불가","범죄,액션","조범구","정우성,안성기,이범수,김인권,이시영,안길강,최진혁,홍성덕,정윤선,강다혜,박지훈,백동현,서병덕,고용석,윤정희,이다혜,최두엽,최시은,최제헌,이명희,권태원,이은지,이정호,이주희,김선웅,김주형,김태진,박갑진,유재상,김홍파,유순철,김명수,안서현,이용녀,최일화,김소진","(주)메이스엔터테인먼트,(주)아지트필름",2
"신의 한 수: 귀수편",18463776050,2157437,1246,82178,"2019-11-07","(주)씨제이이엔엠","15세이상관람가","범죄,액션","리건","권상우,김희원,김성균,허성태,우도환,원현준,홍기준,박상훈,이서환,선율우,김상호,이홍내,박영빈,정인겸,조운,신수연,김정팔,이정아,주서은,이규호,윤기현,이지석,우수빈,김대진,김곤,김지수,정재원,박응수,송영탁,박응준,오승찬,김산,한태일,홍윤재,김태현,김선동,권윤구,김문학,강정혁,양현태,남경화,박종희,이용재,노성후,박민수,이영서,차성제,배하은,곽진,최준영,박재완,곽민준,임채선,임정민,김윤수,김광일,김효영,김선웅,김종원,김용기,김재하,김경태,김시호,김신범,김용준,김민교,권용희,남상원,노현우,류승주,문정기,박희진,박근영,박정규,박영서,송현기,송동환,이진하,이찬재,이진혁,이희규,이규한,이시언,이민영,이중규,이효,이유진,이성현,윤정섭,이시운,오윤석,이예림,이다혜,이동휘,유선호,조석희,조원빈,조규호,전재현,장이슬,정민혁,차중원,최성식,한지윤,한서준,하수진,황은지,한도진,한태희,황춘하,고세원,유선,이병준,박경혜","(주)메이스엔터테인먼트,(주)아지트필름",1
"쌍화점",25411823400,3749034,532,72498,"2008-12-30","(주)쇼박스","청소년관람불가","드라마","유하","조인성,주진모,송지효,심지호,임주환,여욱환,송중기,노민우,조강현,김기방,홍종현,김기석,현우,박종수,김효주,조상민,박지민,백승호,한지원,서영주,유정연,박재연,박상민,정광민,김세정,김세희,김태수,정우진,박선영,최승희,정성일,이승구,김수지,이진아,이주훈,서영주,손종학,조진웅,박성훈,이세랑,임현성,권태원,이성우,김기범","오퍼스픽쳐스(유)",2
"써니",54036428100,7362789,546,149143,"2011-05-04","(주)씨제이이엔엠","15세이상관람가","드라마,코미디","강형철","유호정,심은경,강소라,고수희,홍진희,강지원,김민영,김선경,진희경,김보미,이연경,박진주,남보라,민효린,윤미라,조민수,박윤정,신윤정,박영서,김예원,천우희,박중훈,최형태,심소희,최혜선,전선희,박혜성,진승환,김보름,김도엽,고은별,이상은,윤수진,최선아,박보영,윤정,임은채,최아름,류혜린,최영호,정은지,이승훈,이다슬,한승현,김새벽,성지루,정원중,정석용,김원해,최명길,이상아,김영옥,김보연,선주아,김시후,김혜옥,고준,박순천,권은수,양주호,박혁민","(주)알로하픽쳐스,(주)토일렛픽쳐스",4
"아가씨",35217052991,4288530,1171,90372,"2016-06-01","(주)씨제이이엔엠","청소년관람불가","스릴러,드라마","박찬욱","김민희,김태리,하정우,조진웅,김해숙,문소리,최병모,김인우,이용녀,조은형,장한순,이규정,이승준,이윤재,김시은,안성봉,박기륭,원근희,정인겸","유한회사 아가씨에프에스,(주)모호필름,(주)용필름",2
"아수라",20579716662,2594420,1278,68044,"2016-09-28","(주)씨제이이엔엠","청소년관람불가","범죄,액션","김성수","정우성,김현빈,황정민,주지훈,곽도원,정만식,김원해,김종수,김해곤,윤지혜,오연아,윤제문,이종성,장근영,박지환,손영진,양영일,윤성민,이가경,이광기,이상민,채성원,김남조,노남석,박갑진,김수진,염동헌,차래형,현봉식,최병모,이육헌,임용순,유정호,곽진석,박혁민,황재필","(주)사나이픽처스",1
"아이 캔 스피크",25551269986,3283470,1140,93074,"2017-09-21","롯데쇼핑㈜롯데엔터테인먼트,(주)리틀빅픽쳐스","12세이상관람가","코미디","김현석","나문희,이제훈,박철민,염혜란,성유빈,김소진,이상희,정연주,이지훈,손숙,박준서,이정현,홍상원,황연희,이재인,우지현,이신성,최수인,우상기,이대연,이정현,손성찬,정원창,김자영,김경덕,손경원,설창희,정태야,추연규,이승민,이범규","주식회사 영화사 시선,(주)명필름",2
"아저씨",47102707500,6178452,501,109875,"2010-08-04","CJ ENM","청소년관람불가","액션,드라마","이정범","원빈,김새론,김희원,김성오,배영한,김호연,김성훈,김효민,김효서,신동민,홍석준,조영아,홍의정,이재원,조용현,박준우,최현아,황재순,박혜리,박호진,홍소희,노승우,임효우,이건문,백현익,서정주,김도형,민소연,이상하,박병렬,장민주,장준호,박성택,오정식,정도원,김창민,양종현,서민경,김지민,남경읍,송영창,이종필,조재윤,장준녕,김영아,김태훈,정민성,한사명,이정민,박성택","오퍼스픽쳐스(유)",3
"악의 연대기",17361815332,2192525,776,64351,"2015-05-14","(주)씨제이이엔엠","15세이상관람가","스릴러","백운학","손현주,마동석,최다니엘,박서준,이준혁,이태호,이현우,강민정,조은수,서정우,최동헌,안용우,이명준,이성재,이용희,이은정,정원중,지대한,장준녕,정준원,한성천,배진웅,송훈,권유준","(주)비에이엔터테인먼트",1
"악인전",29133760150,3364712,1307,97351,"2019-05-15","(주)에이스메이커무비웍스,(주)키위미디어그룹","청소년관람불가","범죄,액션","이원태","마동석,김무열,김성규,문동혁,오희준,민무제,문순주,김근영,전배수,유재명,이서환,신희철,강문봉,남승화,박보경,공민규,공성하,곽최산,권혁,김결,서문호,김규리,김동민,배경민,김명희,백수진,백승민,신영선,이정우,안성봉,신하준,20337505,김민준,유승목,유승목,유재명,김보경,오상준,오상준,오현석,윤영균,임효진,김이현,최민철,최선영,정지훈,이상희,김재영,김건,김정석,이성훈,류성현,이소진,황보정일,이육헌,황인성,우강민,윤현주,정미경,강수빈,강영택,김준영,권다솜,이승현,차순배,이승훈,권정우,권혁일,이도군,김진옥,이동기,표성수,이동욱,이동준,이영아,한상철,조승국,한지아,류태호,우상전,우원규,김우림,유용국,이은샘,민경수,정유선,정여루,신기록,이재은,김윤성,안민하,이성일,박은보,이유선,배진호,양지수,최현경,배민준,염미선,전시현,장선정,성주원,허동원","(주)비에이엔터테인먼트",2
"안시성",46342006026,5441020,1540,110444,"2018-09-19","(주)넥스트엔터테인먼트월드(NEW)","12세이상관람가","사극,액션","김광식","이태진,조인성,신현숙,남주혁,박성웅,차영주,김경희,배성우,엄태구,설현,박병은,오대환,성동일,정은채,유오성,김미지,여윤호,박인수,이승일,이현,이경재,이낙준,이동민,이상혁,이상호,이성욱,이세민,이승석,배유리,이승환,배준수,이원재,이은희,이은희,이인규,이정민,김종호,이준우,이진용,이태진,이호준,임동영,임상현,김현우,김현창,나대한,오진석,유병주,윤정열,문창준,박경관,임용순,박세준,정미경,정지훈,김한솔,정태영,조석현,조형래,조혜인,조혜인,김욱,김대현,김동민,김동진,김명준,김민혁,최희열,한명환,한아름,한정환,김이현,김원중,김세홍,강희중,주석태,손영순,장광,옥자연,여이레,정인겸,신유람,박태산,정태야,황재필,이람,정현국,오일용,이정선,이민혁,문창완","(주)영화사수작,(주)스튜디오앤뉴,모티브픽쳐스(주)",3
"암살",98466287781,12706483,1519,175211,"2015-07-22","(주)쇼박스","15세이상관람가","액션,드라마","최동훈","전지현,이정재,하정우,오달수,조진웅,이경영,최덕문,김의성,박병은,김홍파,강용빈,홍성지,지동주,장현석,장용현,김민지,김승찬,안태랑,김예은,김정석,김정호,김지원,박상민,박정환,조승우,김해숙,진경,박소은,김인우,심희섭,김태준,차지원,강영묵,정기섭,금새록,원현준,안민영,허지원,곽자형,허정도,유정호,정인겸,김서원,김준우","(주)케이퍼필름",5
"암수살인",32998321048,3789553,1177,126128,"2018-10-03","(주)쇼박스","15세이상관람가","범죄,드라마","김태균","김윤석,주지훈,문정희,진선규,이재현,이윤재,김종수,김지성,이현주,임병우,김진혁,김학준,윤성원,박성현,박진수,박진영,권회수,허진,김영웅,김윤석,배해선,이봉련,정기섭,이유준,원현준,김미경,김미화,정종준,황재열","(주)필름295,(주)블러썸픽쳐스",2
