"영화명","누적매출액","누적관객수","스크린수","상영횟수","개봉일","배급사","등급","장르","감독","배우","제작사","cluster"
"검사외전",77320403264,9707581,1812,153532,"2016-02-03","(주)쇼박스","15세이상관람가","범죄,코미디","이일형","황정민,강동원,이성민,박성웅,김응수,신소율,주진모,김원해,김홍파,김병옥,박종환,전배수,박지환,손종학,신혜선,김시은,김종수,한재영,박지환,박종우,박지홍,송승현,윤석민,이규호,이석준,이선주,이승우,이승준,이승훈,이승훈,최현준,김영,이정은,장지건,한창현,정기섭,민무제,손성찬,윤경호,최교식,류성현,백익남,백인권,전광진,임용순,박윤호,최정현,남진복,염석무,이형훈,이승민","(주)영화사 월광,(주)사나이픽처스","3"
"검은 사제들",42409600592,5442915,1109,131177,"2015-11-05","(주)씨제이이엔엠","15세이상관람가","미스터리,드라마","장재현","김윤석,강동원,박소담,김병옥,김의성,이호재,남일우,김동현,김미영,김혜민,박지수,송선찬,이상민,이승훈,이현우,손종학,조수향,남문철,김수진,민진웅","영화사 집","1"
"곡성",55864308382,6879989,1485,130332,"2016-05-12","이십세기폭스코리아(주)","15세이상관람가","미스터리,스릴러,드라마","나홍진","곽도원,황정민,쿠니무라 준,천우희,김환희,허진,장소연,김도윤,손강국,전배수,황석정,배용근,배용근,이인철,이용녀,선호삼,송민석,신재현,안수연,이선희,이수빈,이수진,권귀덕,이연,이연경,이연경,백승철,이정은,박성연,최교식,김기천,송훈,신정섭,김송일","(주)사이드미러,이십세기폭스 인터내셔널 프로덕션","3"
"공공의 적 2",20091127000,3134421,299,40642,"2005-01-27","(주)시네마서비스","15세관람가","드라마","강우석","설경구,정준호,유해진,강경덕,박웅,강신일,홍지연,전미애,박태수,남성훈,한재준,서영민,박상욱,최수경,이채은,이미도,변희봉,최정우,김강일,남문철,권태원,원근희","(주)시네마서비스","2"
"공작",42795690816,4975517,1317,99122,"2018-08-08","(주)씨제이이엔엠","12세이상관람가","드라마","윤종빈","황정민,이성민,조진웅,주지훈,김대현,이경호,이기용,이동희,이상원,이상현,박현민,박혜영,김재희,이승찬,이승환,이승훈,이은영,김정현,이재우,이재혁,김정호,김종수,김지나,서주연,손승훈,이창석,이창훈,이희경,김지혜,김지홍,김진영,김현중,김형기,김형우,정재헌,박진영,강주석,정혜경,조현수,강민지,김다솜,김대현,김미혜,최운진,최지현,최희열,김소진,김수연,김은아,김승희,김영진,김영훈,김용석,김우영,김우현,주해은,한창현,양현민,정기섭,민무제,한성천,금새록,김응수,최병모,손성찬,홍기준,정소리,김규백,김규남,최정인,박경찬,곽자형,강덕중,류성현,감승민,김현,윤재인,권범택,설창희,김인우,양지수,곽진석,박혁민,염석무,엄지만,정종우,김도율,권유진,김종태,박진수","(주)영화사 월광,(주)사나이픽처스","1"
"공조",63783303326,7817654,1392,142991,"2017-01-18","(주)씨제이이엔엠","15세이상관람가","액션","김성훈","이재남,현빈,유해진,김주혁,장영남,이해영,임윤아,이동휘,박형수,서은지,신유철,공정환,김준한,신문성,엄효섭,홍인,임용순,엄지만,신현빈,김종태","(주)제이케이필름,(주)씨제이이엔엠,영화사 이창,(주)에이치비엔터테인먼트","3"
"과속스캔들",53800771400,8223266,408,145555,"2008-12-03","롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","코미디","강형철","차태현,박보영,왕석현,임지규,황우슬혜,정원중,김기방,김혜진,노수정,류수경,김준호,문수진,김태형,김웅,이희상,임진순,김민채,김수완,박용준,정준영,정진희,정하린,김진,김준영,이준혁,성지루,김한국,고준,고준,박영서,박준하","(주)토일렛픽쳐스,(주)디씨지플러스","3"
"관상",66009791500,9135802,1240,125105,"2013-09-11","(주)쇼박스","15세이상관람가","사극,드라마","한재림","송강호,이정재,백윤식,조정석,이종석,김혜수,신기원,윤종구,윤희원,이도엽,권영각,김길동,정준식,조훈휘,표유신,하정수,한만영,노준표,문혜진,박진우,전신환,김강현,유재명,김의성,정대용,김근영,서현우,이규형,이유준,김태우,윤경호,최교식,박기만,주광현","(주)주피터필름,(주)쇼박스","3"
"국가대표",57570773000,8035181,570,131671,"2009-07-29","(주)쇼박스","12세이상관람가","드라마,액션,코미디","김용화","하정우,성동일,김지석,김동욱,최재환,이재응,이은성,이한위,이혜숙,김지영,쥬니,황하나,조재윤,심영,천주영,도승휘,전성빈,오광록,김수로,조진웅,김용건,김성주,이금희,박정수,손범수,이세랑,정민성,정종열","케이엠컬쳐㈜","3"
"국가부도의 날",30893315837,3755233,1180,101077,"2018-11-28","(주)씨제이이엔엠","12세이상관람가","드라마","최국희","김혜수,유아인,허준호,조우진,뱅상 카셀,이원희,이은주,손민석,손영진,이하윤,김진구,박경관,박재민,박재영,박정민,권훈,김기현,염혜란,최준영,조한철,한창현,엄효섭,장성범,동하,박진주,이양희,손성찬,전배수,백도겸,박경찬,정종열,양말복,한이진,김민상","영화사 집","2"
"군도: 민란의 시대",36989711499,4775441,1394,67252,"2014-07-23","(주)쇼박스","15세이상관람가","사극,액션","윤종빈","하정우,강동원,최귀화,이성민,조진웅,마동석,윤지혜,정만식,김성균,김재영,주진모,이경영,신나라,정두홍,조남희,조현도,김광현,김병주,김영철,김지선,김태수,노남석,송영창,이경영,김병옥,주영호,한예리,김시은,김해숙,정대용,정재헌,박명신,임현성,강신철,윤경호","(주)영화사 월광,(주)쇼박스","1"
"군함도",50510565168,6592151,2027,108775,"2017-07-26","(주)씨제이이엔엠","15세이상관람가","액션,드라마","류승완","황정민,김규백,명인호,소지섭,송중기,이정현,김수안,지웅배,손용범,박선,박선주,박영준,박정민,박준서,박준서,박혜민,성정훈,오정현,오형근,전창현,정규호,정부용,지재우,이다영,이동준,이상협,이선민,이세형,이윤2,최호영,이재민,이정민,이정은,이정현,이제훈,허승준,이준희,이지은,이지환,이태영,이하은,이하준,이경영,장성범,백승철,김준한,김고은,박성일,설준수,조경현,여윤호,이준혁,신희철,김동영,이정현,전배수,윤경호,강덕중,김정원,이문석,정병두,김예은,김인우,정만식,정태야,추연규,한윤식,박상호","(주)외유내강,(주)필름케이","3"
"귀향",27249801990,3587182,876,90288,"2016-02-24","(주)와우픽쳐스","15세이상관람가","드라마","조정래","손숙,강하나,서미지,최리,정인기,오지혜,김시은,이채현,임성철,임혜영,박주현,박지희,박진경,장현익,정광윤,정부경,정승현,안재성,이경훈,이민영,이선희,이수현,이승현,이여원,김완기,김은나,정무성,류신,윤정로","주식회사 제이오엔터테인먼트코리아","2"
"그것만이 내 세상",27456797382,3420172,956,95437,"2018-01-17","(주)씨제이이엔엠","12세이상관람가","코미디,드라마","최성현","이병헌,윤여정,박정민,한지민,김성령,이주영,최리,이가경,이상준,박현주,이소정,이정호,이종승,이주영,이준석,안성봉,박상훈,박성훈,박소은,장혜리,정승환,박지연,박지훈,박지훈,조윤주,김동규,김민주,김유진,박지연,정윤하,오혜원,류제승,권귀빈,백현진,유정호,김서원,김병춘,김현정,김상욱","(주)제이케이필름,(주)씨제이이엔엠","2"
"기생충",85883963645,10085275,1948,192855,"2019-05-30","(주)씨제이이엔엠","15세이상관람가","드라마","봉준호","송강호,이선균,조여정,최우식,박소담,이정은,장혜진,박명훈,현승민,정현준,윤혜리,박근록,이시훈,김규백,설민,박가빈,정이서,조재명,정익한,안진상,이루아,김하언,하윤희,이도운,오별하,유인,유채련,정일화,지혜영,지연,최정연,서복현,심수미,장지우,한미자,주수지,강현규,고관재,박서준,곽신애,류영훈,문상근,김건,박재완,서한결,서희영,손지영,박혜숙,백동현,신승민,백승환,안성봉,염재민,오상준,오상준,김성수,김세인,윤영우,정재훈,김이슬,이종현,이주형,제승현,김혜련,김정우,이지혜,황인경,이덕형,이시은,김영조,이도용,김보령,김용각,정세현,이옥희,이상경,정아름,이은희,이인경,박미애,김진형,이시후,박재욱,양선영,장예원,최정현,김성준,최지원,김향배","(주)바른손이앤에이","3"
"꾼",31313568795,4018341,1314,117419,"2017-11-22","(주)쇼박스","15세이상관람가","범죄","장창원","현빈,유지태,배성우,박성웅,나나,안세하,최덕문,전보람,전헌태,이용희,이재남,이창호,김동철,황인범,차순배,염동헌,허성태,주석태,정민성,최홍일,김자영,류성현,유정호,손병욱,신정섭","(주)영화사두둥","2"
"끝까지 간다",27007303900,3450305,645,84876,"2014-05-29","(주)쇼박스","15세이상관람가","액션,스릴러,범죄","김성훈","이선균,조진웅,신정근,정만식,신동미,김동영,박보검,박진성,정하철,윤종현,이승준,이지훈,김보경,이영수,김재철,김진환,배유람,김강현,기주봉,장인섭,장준녕,김해곤,서현우,이준혁,주석태,김승훈,이장유,김그림,허정은","(주)에이디사공육,(주)다세포클럽","2"
"나쁜 녀석들: 더 무비",39560195124,4573902,1511,113938,"2019-09-11","(주)씨제이이엔엠","15세이상관람가","범죄,액션","손용호","마동석,김상중,김아중,장기용,강예원,민태율,박형수,김혜윤,손성찬,박상욱,정종열,김경덕,서문호,백종민,임용순,안성봉,배은우,김인우,박태산,지승현,추연규,최원,이순혁,박효준,이재윤,박원상,조영진,한정현,전익령,김형묵,윤병희,강영묵,조동혁,공정환,석영오,문경민,손진환,김희창,박광재,최현욱,김원진,이수정,장준녕,김재록,설지윤,배성민,김창옥,이승창,김원중,박서진,강승호,김지웅,서영민,원근수,문재원,정광희,서문호,배현경,홍도성,황두하,지남혁,한상철,장의돈,이진혁,박병선,봉신주,박근영,이지운,김산성,박민한,김대경,고봉구,김효영,한명철,신현승,유병선,오재윤,김문학,양한석,이수민,나호원,정무성,박태산,이왕수,최재원,유인선,김미지,조혜빈,최서현,윤수하,최지희,최효상,김윤홍,김지한,임용순,김강일,박용,손성찬,방재호,김춘기,김시온,장한승,전민준,안성봉,신유람,윤토왕,정윤철,임정민,박금철,김왕용,서정우,홍범기,권지훈,양해길,박광설,이형길,주원,배준모,김정봉,이성빈,이재학,여경준,강범석,최민석,박성우,임시우,한명환,손현민,김지훈,박현준,고건호,박국진,김여름,김창희,남상기,노현석,나예성,신용호,신현빈,윤지용,이건희,이원찬,이종현,장석권,정상호,정지성,한지훈,조태호,김혜성,진시원,임세운,박숙명,김시혜,김주연,정은정,김상욱,유재상,송원수,김선동,이한성,곽정길,김명희,김유진,홍희자,박복만,심철민,옥주리","(주)씨제이이엔엠,(주)영화사비단길","1"
"남한산성",31225419792,3849129,1229,71102,"2017-10-03","(주)씨제이이엔엠","15세이상관람가","사극,드라마","황동혁","이병헌,김윤석,박해일,고수,박희순,조우진,박주운,박지원,백동현,서병철,장정국,이정호,이호중,권효민,신희철,한창현,허성태,이장유,곽자형,강덕중,박지일,최희도,엄지만","(주)싸이런픽쳐스","2"
"내 아내의 모든 것",34224467500,4598985,563,91777,"2012-05-17","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","코미디,멜로/로맨스","민규동","임수정,이선균,류승룡,이달형,이진희,김도균,김선일,최차원,신경철,옥광희,박희본,김지영,정대용,남명렬,김도영,한이진,박현우","(주)수필름,영화사 집","1"
"내부자들",56599221057,7072507,1129,152636,"2015-11-19","(주)쇼박스","청소년관람불가","범죄,드라마","우민호","이병헌,조승우,백윤식,이경영,김홍파,배성우,조재윤,김대명,조우진,이엘,정만식,김병옥,김의성,박진우,남일우,김연지,김진우,문소리,박경순,설우신,손혜진,신정미,윤보배,이선관,이재남,이재정,이주아,신지수,장현준,최정연,황준혁,손종학,조덕제,유재명,조경현,권태원,강신철,정민성,박성근,정종열,문광식,이문석,이동진","(유)내부자들 문화전문회사","3"
"늑대소년",46593140500,6654842,854,109134,"2012-10-31","(주)씨제이이엔엠","15세이상관람가","멜로/로맨스,드라마,판타지","조성희","송중기,박보영,장영남,유연석,김향기,장서이,한민혁,이승주,최광락,오영석,차종호,이영란,유승목,서동수,김승훈,구교환,이민웅,남정희,정인겸","(주)영화사비단길","3"
"댄싱퀸",30130775500,4058225,544,80988,"2012-01-18","(주)씨제이이엔엠","12세이상관람가","코미디,드라마","이석훈","황정민,엄정화,정성화,오나라,박정민,박사랑,임호걸,정원영,이정건,안은정,라미란,송원석,이대연,이한위,최우리,천보근,권병길,조달환,서동원,정아미,어성욱","(주)제이케이필름,(주)씨제이이엔엠","2"
"더 킹",43492302535,5317959,1310,107985,"2017-01-18","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","범죄,드라마","한재림","조인성,정우성,배성우,김아중,류준열,김의성,김민재,정성모,정은채,김소진,황승언,이주연,정준용,박시영,임승묵,박정민,박지홍,박진영,장승연,손영진,안용우,유현종,이나경,이석호,한미진,이승민,이윤희,김원진,김규선,남명렬,이가경,차지원,차엽,오대환,이세랑,정원중,곽순우,금새록,김해나,정인기,박성근,윤부진,조대희,임용순,이열음,염석무,박기만,이병철","(주)매그넘나인","1"
"더 테러 라이브",39869706381,5584139,809,93488,"2013-07-31","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","범죄,기타","김병우","하정우,이경영,전혜진,이다윗,이재관,이춘연,장성환,전려경,박수화,김홍파,김대명,최진호,김소진,강진아,최대훈,강신철,한성천,손성찬,최정현","(주)씨네이천","1"
"덕혜옹주",44395967609,5599665,964,97323,"2016-08-03","롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","사극,드라마","허진호","손예진,박해일,윤제문,라미란,정상훈,박수영,김소현,박주미,안내상,김재욱,김인우,백윤식,김대명,김정희,박윤식,박지수,박혜영,송민수,송창현,신동주,오세영,이경훈,이명규,이상진,이승진,최영빈,최일순,최정순,한동훈,함성원,홍은지,김무규,김기정,차지원,고수,금새록,김승훈,김기천,곽자형,김나연,신정섭,김용호","(주)하이브미디어코프,(주)영화사호필름 ,(주)디씨지플러스","1"
"도가니",35566892800,4662829,756,88339,"2011-09-22","(주)씨제이이엔엠","청소년관람불가","드라마","황동혁","정유미,공유,허재호,송은정,임현성,최진호,박진우,이금용,배정민,김봉화,최보람,박사현,전영미,박선희,최영수,이순남,박승원,오하나,이예나,이차주,김현수,장소연,장광,전국환,엄효섭,남명렬,이장유,박혜진,김민상","(주)삼거리픽쳐스,(주)판타지오","1"
"독전",43486831113,5063844,1532,140008,"2018-05-22","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","범죄,액션","이해영","조진웅,류준열,김주혁,김성령,박해준,차승원,이주영,김태준,서현우,이경제,이민호,김재훈,백승환,이정철,이정호,김준형,이주영,이지민,안성봉,김태준,김태현,오현석,박성연,박예진,박은영,박정진,박종범,정여진,박진수,최성철,김대근,황기석,김양수,김선우,강승현,강지현,김누리,김동영,진서연,정가람,김동영,금새록,정준원,서문호,이육헌,윤재인,정종우,추연규","(주)용필름,보야저필름","1"
"돈",28870244062,3389125,1431,120809,"2019-03-20","(주)쇼박스","15세이상관람가","범죄","박누리","류준열,유지태,조우진,원진아,박명신,이화룡,오희준,정기섭,차래형,김강현,유재명,이서환,정만식,임세미,한주완,서명찬,이무생,홍인,임천석,우지이,강우신,홍석찬,임교은,박용복,백명재,백정우,추판호,배재완,추국현,주제희,김일석,안문주,선인호,황혜진,현명석,노현욱,구혜연,권욱락,환현규,서아라,강이나,천세라,최별하,최예록,박아정,현정애,김운송,허철영,구효길,백승인,주동희,이태검,강덕중,남문철,동윤석,동현배,고해성,박상훈,곽진석,구본진,박성용,맹나현,박성현,박세정,권지훈,권혁성,서정우,김기정,선율우,박준혁,성승주,박준호,김대현,손영민,손우진,손종학,송승현,신재민,변진수,김민아,김민재,안현빈,유지수,오경민,오대환,육효명,김상욱,신나리,김세정,윤선혜,윤용석,윤용석,윤육,이정철,고재경,장영주,김재영,허지나,최영우,이지연,장훈,김혜련,김혜준,이지혜,황병국,이수련,조우진,김종수,이육헌,최현종,황정민,최정현,김시우,조정원,정도원,이가경,강동균,정민규,주보라,김지나,김지성,진선규,이도국,김진옥,최희진,이연우,김하영,김성강,정세아,김태한,김왕도,이민정,김윤영,김윤오,김찬이,이원찬,이현일,이유진,명재환,이윤경,이은석,정수용,김태빈,이이슬,박광진,김철민,윤채연,김진호,박소리,안지은,안태준,이호근,박현욱,최현종,전희련,오승훈,장규미,김현우,한성호,한수용,곽진석,장규미,노상현","(주)사나이픽처스,(주)영화사 월광","2"
"디워",49340084700,7855474,622,96439,"2007-08-01","(주)쇼박스","12세이상관람가","액션,판타지","심형래","브룩스 아만다,베어 제이슨","㈜영구아트","3"
"럭키",56445023256,6975571,1234,155990,"2016-10-13","(주)쇼박스","15세이상관람가","코미디","이계벽","김운,유해진,이준,조윤희,임지연,전혜빈,이동휘,박선용,박은미,정소리,최시형,홍의권,김기정,고준,차엽,이성욱,정희태,김현숙,김시우,김민상,신정섭,최원,이승철","(주)용필름","3"
"마녀",27242029463,3189091,1117,90843,"2018-06-27","워너브러더스 코리아(주)","15세이상관람가","미스터리,액션","박훈정","김다미,조민수,박희순,최우식,백승철,김하나,이강곤,이상용,백규현,김종면,김종훈,서영희,송민수,이주원,이채현,이하영,이혜성,남경민,모그,박상현,박상훈,박시현,장민재,정다은,박정수,정승채,정지민,김한솔,조제웅,진영준,권용석,김기훈,김미진,최정우,김상훈,김수현,김승우,김영원,김영민,김우주,고민시,권태원,현봉식,이기영,최현종,오미희,김병옥,이주원,곽진석,명홍진","(주)영화사 금월,(주)페퍼민트앤컴퍼니","2"
"마스터",58068236865,7150586,1501,126927,"2016-12-21","(주)씨제이이엔엠","15세이상관람가","액션,범죄","조의석","이병헌,강동원,김우빈,엄지원,박해수,오달수,진경,김정우,장한별,이승용,김대현,홍성덕,우도환,배정남,조현철,정원중,주석태,송영학,이도국,김태훈,강지혜","영화사 집","3"
"말아톤",26284943000,4196840,238,59493,"2005-01-27","(주)쇼박스","전체관람가","드라마","정윤철","조승우,김미숙,이진영,허자경,석명홍,정철우,이민숙,김장욱,전수지,정미선,정미영,김영아,이창헌,이기영,백성현,안내상,김도영,우기홍","시네라인투(주)","2"
"미녀는 괴로워",36292848900,6081480,418,87141,"2006-12-14","(주)쇼박스","12세이상관람가","멜로/로맨스,코미디","김용화","김아중,주진모,김현숙,신미영,김원,조아영,신정원,차원호,원동연,이보라,장재권,전고은,임민승,윤지원,박성용,박성현,오재진,김정만,정명희,오경성,김종태,이혜림,이종필,박노식,김용건,박휘순,이원종,이한위,류승수,정민성,김지석","리얼라이즈픽쳐스(주),케이엠컬쳐㈜","1"
"밀정",61270079831,7500457,1444,138162,"2016-09-07","워너브러더스 코리아(주)","15세이상관람가","액션","김지운","송강호,공유,한지민,츠루미 신고,엄태구,신성록,서영주,박민우,이진한,이진한,임서영,임서영,전수빈,정유안,조권수,조윤담,이상희,이수광,이승진,하민,노준표,김정우,김태준,고준,오하늬,원진아,전여빈,최유화,이병헌,허성태,김동영,주석태,금새록,전배수,곽자형,옥자연,홍인,백인권,이상희,최희도,조영규,양도현,이동진","(주)다크서클픽쳐스,워너브러더스 코리아(주),(주)영화사하얼빈","3"
"바람과 함께 사라지다",34614661161,4909937,694,78591,"2012-08-08","(주)넥스트엔터테인먼트월드(NEW)","12세이상관람가","코미디,사극","김주호","차태현,오지호,민효린,성동일,신정근,고창석,송종호,이채영,김길동,천보근,김향기,최대호,정종열,임창훈,임혜인,최태환,이아람,이예은,이주현,문영동,김강일,오나라,진용욱,오희준,이언수,최광덕,이상협","(주)두타연,(주)에이디사공육","1"
"박수건달",28379548569,3897969,603,60604,"2013-01-09","(주)쇼박스","15세이상관람가","코미디","조진규","박신양,김정태,엄지원,정혜영,김성균,최일화,최지호,김형범,장원종,이충재,장성진,장진,조용우,김에스라,현태환,서형찬,이덕화,정윤선,김홍파,이양희,정민성,김경룡,홍기준,김남순,설창희,박세진","주식회사 제이앤피,박수건달문화산업전문(유),(주)쇼박스","2"
"백두산",52905789770,6290502,1971,99915,"2019-12-19","(주)씨제이이엔엠,(주)덱스터스튜디오","12세이상관람가","어드벤처,드라마","이해준,김병서","이병헌,하정우,마동석,전혜진,배수지,손성찬,서명찬,양지수,박준영,양대혁,김재철,박지훈,변우석,지화섭,김지민,이정민,허승,차시원,김훈만,손영순,박태산,우진혁,신성일,김세윤,김정현,허지나,김지훈,한창민,남상지,김연교,정윤하,김하라,이은희,이상원,옥자연,한수현,강신철,이경영,조한철,최광일,김시아,임형국,박주환,남성준,김민식,박지홍,서현우,김준원,남문철,박성근,전도연,노종면,이광연,이종원,김경수,나경철,박윤미,염상훈,차해리,김태은,서석규,서문호,장재희,나경진,김효준,김성혁,권수진,임윤비,장근영,서문호,한동훈,오지영,박정숙,홍지아,임수아,권귀덕,김기태,김찬욱,김양원,김시원,김대경,강규현,박범석,이재한,임무빈,장나라,서영재,김통령,최정현,이한결,안구희,정한빈,최홍락,정상균,이육헌,권혁일,이두원,이창석,장용희,김동빈,김영경,김진문,민병욱,윤슬기,장태영,정진혁,한동훈,백경윤,고한민,허승,양지수,한동훈,서문호,김연교","주식회사 덱스터 픽쳐스,(주)퍼펙트스톰필름,(주)씨제이이엔엠","1"
"범죄도시",56322153349,6880546,1315,149389,"2017-10-03","메가박스중앙(주)플러스엠,(주)키위미디어그룹","청소년관람불가","범죄,액션","강윤성","마동석,윤계상,조재윤,최귀화,박상규,유지연,최성재,이경원,이태규,진선규,허동원,김성규,박지환,오민애,허성태,이성우,민무제,한성천,홍기준,배진웅,정인기,서문호,윤주,박기륭,정인겸,하준,김용호","(주)홍필름,(주)비에이엔터테인먼트","3"
"범죄와의 전쟁: 나쁜놈들 전성시대",36540327500,4720050,713,91892,"2012-02-02","(주)쇼박스","청소년관람불가","범죄,드라마","윤종빈","최민식,하정우,조진웅,마동석,곽도원,김성균,박성광,이철민,임자연,임헌호,권종현,박재현,박태호,신수정,이강곤,이낙준,권율,송영창,박병은,김홍파,이희준,유재명,장준녕,김종수,오만석,정재헌,고규필,이세랑,박인수,권태원,강신철,한성천,이유준,김응수,안민영,노태엽,김종구,이윤희,김재영,손병욱,이승민,김영선","(주)팔레트픽처스,(주)쇼박스","1"
"베를린",52356534637,7166453,894,111749,"2013-01-30","(주)씨제이이엔엠","15세이상관람가","액션","류승완","하정우,한석규,류승범,전지현,이경영,최무성,곽도원,김서형,백승익,배정남,곽진석,김서원","(주)외유내강,(주)씨제이이엔엠","3"
"봉오동 전투",40588648538,4787538,1476,107030,"2019-08-07","(주)쇼박스","15세이상관람가","사극,액션,드라마","원신연","유해진,류준열,조우진,키타무라 카즈키,이케우치 히로유키,박지환,최유화,성유빈,이재인,다이고 코타로,고민시,지웅배,양현민,김기태,김규백,강민재,박도하,동윤석,곽진석,김대건,박시윤,권혁성,박영복,김경로,김경준,김경희,김관수,박재형,박준성,박지열,손우진,김동규,박훈,박희순,배성민,김두현,백경록,백승환,안성진,유경훈,김병국,어주선,오상무,오상윤,오승호,오진석,윤병희,김세한,윤선용,김현민,이정민,최민식,장세용,김현철,허인구,허인범,이준우,장의돈,김재현,홍범기,홍상표,장현석,장현정,전동현,전두식,홍진기,홍희자,윤종구,이수호,강내균,정미남,김연,강신구,강신형,이경욱,강준석,이관훈,이광기,고한민,고한수,지성은,곽예준,권성영,이대광,김길중,이도용,김리승,이연빈,김학충,이한종,김승완,김용석,임세운,임정환,이예지,임동욱,조셉,조영동,노재훈,조원빈,김철윤,주광현,남동명,김태형,원일,문동식,원진,위민국,김태준,유명훈,노시홍,지명근,정광희,진근호,정동근,민상우,정윤철,신한울,윤서진,채장열,이인규,정재우,박범석,이권식,심소영,김유진,이민혁,박승준,박야성,최유화,이웅빈,손민호,양정두,장인수,여윤호,최홍락,염석무,전영인,최희열,전중용,오문강,서정식,오재윤,장나라,장래군,원풍연,장병수,오현근,백종승,백효성,한국인,한도진,황태인,한태양,홍민수,곽진석","(주)빅스톤픽쳐스,(주)더블유픽처스,(주)쇼박스","1"
"부러진 화살",25937273000,3459864,530,71593,"2012-01-18","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","드라마","정지영","안성기,박원상,나영희,김지호,이승훈,이춘연,이홍표,임태연,장길수,장현남,전윤희,조세래,조완기,조유미,최린,최필선,한현근,허웅,이미화,김지연,이익태,이제희,이지석,배연태,백성기,신종훈,오대환,정원중,조동인,김준배,조덕제,박길수,한기중,이제희,김응수,한사명,이정민","(주)아우라픽처스","2"
"사도",48846045501,6247651,1210,124263,"2015-09-16","(주)쇼박스","12세이상관람가","사극","이준익","송강호,유아인,문근영,전혜진,김해숙,박원상,진지희,박소담,서예지,이효제,곽동호,최희영,정호,이현철,김상훈,이민혜,김경원,김대환,김민규,양지혜,안현숙,김우진,이대연,최덕문,정석용,최민철,안정우,조승연,차순배,박명신,박윤호,권범택,김서원,안태훈","(주)타이거픽쳐스","1"
"설국열차",67012235200,9350323,1128,124858,"2013-08-01","(주)씨제이이엔엠","15세이상관람가","SF,액션","봉준호","크리스 에반스,송강호,에드 해리스,존 허트,틸다 스윈튼,제이미 벨,옥타비아 스펜서,이완 브렘너,고아성,알리슨 필,허찬","(주)모호필름,오퍼스픽쳐스(유)","3"
"수상한 그녀",62710880849,8658800,1027,136985,"2014-01-22","(주)씨제이이엔엠","15세이상관람가","드라마","황동혁","심은경,나문희,박인환,성동일,이진욱,김현숙,황정민,김슬기,박형우,신재훈,박인환,이태식,박재홍,서진호,양태규,정상원,정은임,정종혁,조명행,진영,한상경,한흥석,김경아,이주희,김동욱,김동희,김민준,김선하,김순찬,김영웅,김용진,김재섭,김정원,박선희,한지은,김수현,황영희,장광,전우재,강필선,김가희,황승언,임현성,정인기,이장유,하연주,박혜진,김남순,조혜선","(주)예인플러스엔터테인먼트,아이앤코스모스(주)시네와이즈필름","3"
"숨바꼭질",39602995500,5604106,779,88064,"2013-08-14","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","스릴러","허정","손현주,문정희,전미선,장채린,김수안,김원해,노수산나,정준원,김근영,성유빈,주석태,정민성,김혜윤,김자영","(주)드림캡쳐","1"
"스물",23563705686,3044859,926,100167,"2015-03-25","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","코미디,드라마","이병헌","김우빈,이준호,강하늘,정덕희,주창욱,권지훈,오하늬,오현경,이성두,정소민,안재홍,이유비,김의성,김종수,민지,황미영,서호철,박명신,양현민,허준석,한준우,백수희,차민지,정주연,홍완표,곽진석","(주)영화나무,(주)아이에이치큐","2"
"스파이",24512378305,3436012,785,72804,"2013-09-05","(주)씨제이이엔엠","15세이상관람가","액션","이승준","설경구,문소리,다니엘 헤니,고창석,한예리,라미란,서승인,이대수,이성제,최승현,오대환,이무생,강석철,김종수,조영진,김소진,차순배,서현우,이나라,박지연,정인기,한이진,양도현,김송일","(주)제이케이필름,(주)씨제이이엔엠","2"
"신기전",24326346000,3728429,585,78463,"2008-09-04","CJ ENM","15세이상관람가","사극,드라마,액션,전쟁","김유진","정재영,한은정,안성기,허준호,김명수,신정근,조원희,이광희,박윤희,조주현,최만수,박보람,박성배,이승근,이연우,김진규,이기오,주부진,이정인,김용재,이영수,김서현,김강일,김명국,차순배,리우진,이람","(주)시네마서비스글로벌","2"
"신세계",34881330905,4682492,671,90581,"2013-02-21","(주)넥스트엔터테인먼트월드(NEW)","청소년관람불가","범죄,액션","박훈정","이정재,최민식,황정민,박성웅,송지효,정영기,이경영,정군,정민욱,정종화,최봉록,권지훈,한동욱,한재덕,허명행,남경민,신수정,연영식,김병옥,김홍파,장광,정재헌,김윤성,최일화,리우진,박인수,권태원,정민성,류성현,곽진석,김서원","(주)사나이픽처스,(주)페퍼민트앤컴퍼니,(주)대명문화공장,(주)파트너스케이","1"
