"영화명","누적매출액","누적관객수","스크린수","상영횟수","개봉일","배급사","등급","장르","감독","배우","제작사"
"0.0MHz",1088258860,137294,446,5998,2019-05-29,"(주)스마일이엔티","15세이상관람가","공포(호러)","유선동","정은지,이성열,최윤영,신주환,정원창,박명신,남관효,박대희,노혜영,서진석,김대현,신승민,오규택,오세규,오제헌,김성우,김수진,이정수,이상찬,허현준,이성훈,김정연,홍주영,김호영,김정현,김효은,조승구,조용현,김승희,김승희,김시아,황지원,조지영,조지영,강성민,강태웅,이경환,구원회,최현욱,김진옥,김난희,김하니,김선정,김성채,한소연,이채린,김진효,이병수,조임원,노희성,한정원,이혜미,조창순,조희원,주민준,나소이,남정희,함사랑,김원식,정낙안,유희찬,정설리,정승필,윤수빈,김채민,윤영식,신하림,이태준,김진아,최원,양시열,서우린,임창록,서한별,홍의현,한소영,황연희,한정윤,한태규,신지혜,박선영","(주)제이엠컬쳐스"
"10억",3107403000,433866,252,12744,2009-08-06,"(주)싸이더스","15세이상관람가","스릴러,어드벤처","조민호","박해일,신민아,박희순,고은아,정유미,이민기,이천희,성기완,박준하,안정희,강왕수,유정아,윤성재,최서우,최무성,신동미,정석용,김준배,김학선,김중기,김상호,연송하,이나라,박준하","(주)이든픽쳐스"
"1724 기방난동사건",1897970000,288452,340,19036,2008-12-03,"(주)싸이더스","15세이상관람가","사극,액션,코미디","여균동","이정재,김석훈,김옥빈,이원종,김수남,김현우,이광희,김효열,김은식,황혜영,한대희,김기종,김경록,한진,김대욱,우영제,김성룡,유지연,임경업,전성애,정재형,오진섭,여균동,김영근,김홍파,조덕현,장세진,조희봉,정종열,김기천,남정희","(주)싸이더스"
"1987",58169776145,7232387,1299,138226,2017-12-27,"(주)씨제이이엔엠","15세이상관람가","드라마","장준환","안대겸,김윤석,하정우,유해진,김태리,박희순,이희준,설경구,여진구,윤재국,지웅배,정재윤,이가영,이동욱,이동희,이상준,이태형,최광일,강동원,문소리,문성근,김원진,남민우,이주영,임병우,김시은,김기태,정재윤,황성준,서현우,조민준,박지환,박명신,김푸름,이화룡,이창훈,이신성,김수진,박경혜,김국희,황정민,한준우,정승길,현봉식,강신철,한성천,나철,김승훈,정인기,양조아,최교식,이장유,김경덕,최현종,정순원,이하영,유정호,곽진석,박혁민,염석무,이범규","(주)우정필름"
"1급기밀",1728645300,218795,512,11357,2018-01-24,"(주)리틀빅픽쳐스","12세이상관람가","드라마","홍기선","김상경,김옥빈,최무성,최귀화,김병철,최고,이지원,서현우,이상철,이승훈,이윤혁,신윤정,김태민,유영호,최보연,김민정,김성진,김우진,김민기,권태원,김성민","(주)미인픽쳐스,(주)미디어모굴"
"1번가의 기적",15494122100,2535450,340,54566,2007-02-14,"CJ ENM","15세이상관람가","드라마,코미디","윤제균","하지원,임창정,강예원,정두홍,박용주,신윤주,남동협,채백호,최광섭,김서경,곽진석,오수현,이규원,주현,이용녀,김희원,박영수,정민성,곽진석","(주)두사부필름"
"26년",21242367145,2963652,611,50679,2012-11-29,"(주)인벤트스톤,영화사청어람(주)","15세이상관람가","액션,드라마","조근현","진구,한혜진,임슬옹,배수빈,이경영,장광,천우희,이현걸,전종석,정광재,지성용,김병오,이상훈,이경영,정현진,이미도,조덕제,김의성,김도윤,김태준,김기천,이상훈,정희태,한사명,박서연","영화사청어람(주)"
"4교시 추리영역",459533500,67602,170,4904,2009-08-12,"롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","공포(호러),스릴러","이상용","김호연,유승호,고길주,강소라,송현,조예진,김민수,김대정,김태일,이샛별,최성겸,장희정,임수향,임은지,임장군,오미혜,김준혁,정석용,이영진,이찬호","스웨이엔터테인먼트"
"4요일: 자살을 부르는 요일",182990000,26962,132,3825,2008-12-11,"메가픽쳐스제이씨(주)","청소년관람불가","공포(호러),스릴러","서민영","정운택,임예원,단소영,한영훈,문승욱,윤서현,오지영,이재용","(주)재하엔터테인먼트"
"577 프로젝트",695770500,96080,191,5041,2012-08-30,"필라멘트픽쳐스","15세이상관람가","코미디,드라마","이근우","하정우,공효진,김성균,이승하,차현우,이지훈,최희서,강신철,한성천,이수인","(주)다세포클럽,(주)무브픽쳐스,(주)판타지오,(주)매니지먼트 숲"
"5백만불의 사나이",739789500,104736,331,6393,2012-07-19,"(주)씨제이이엔엠","15세이상관람가","코미디","김익로","박진영,조성하,민효린,조희봉,오정세,이병준,주광현,한유림,이원익,이유수,윤미영,김준배,한소율","(주)하리마오픽쳐스,(주)제이와이피엔터테인먼트,(주)바른손이앤에이"
"6년째 연애중",7422697000,1112238,326,27465,2008-02-05,"(주)스튜디오210","15세이상관람가","멜로/로맨스,드라마","박현진","김하늘,윤계상,차현정,신성록,김혜옥,허자연,김란,이상엽,안병래,김나연,정동규,김용완,김지애,이대연,옥지영,조용준,진용욱,서동원","(주)피카소필름"
"6월의 일기",3645962000,593867,169,15249,2005-12-01,"(주)쇼박스","15세관람가","드라마,범죄","임경수","신은경,이상기,김윤진,문정혁,김꽃비,맹세창,김경민,문준호,김지민,박현영,오정세,박혁민","(주)필름앤픽쳐스"
"7광구",19391653500,2242510,812,47346,2011-08-04,"(주)씨제이이엔엠","15세이상관람가","SF,액션,스릴러","김지훈","하지원,박철민,김성태,차예련,이한위,오지호,송새벽,안성기,박원희,김형석,박정학,배명호,장동원,정상용,박영수,오민석,정인기","(주)제이케이필름,(주)씨제이이엔엠"
"7급 공무원",26380710000,4039891,475,90779,2009-04-22,"롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","코미디,액션,드라마,범죄","신태라","김하늘,강지환,유승목,강규영,김민국,강신일,장남열,심은혜,나귀화,서정주,천성일,민홍남,이상욱,박병렬,정경민,이수지,임성현,김재훈,김철남,이가현,서민경,이정선,김은주,손호승,김형범,장영남,리우진,이창훈,김승훈,오연아,박지영","(주)하리마오픽쳐스,(주)영화사수작,(주)디씨지플러스"
"7년의 밤",3969337524,528007,872,26804,2018-03-28,"(주)씨제이이엔엠","15세이상관람가","스릴러,드라마","추창민","류승룡,장동건,송새벽,고경표,이레,탕준상,이상희,문정희,서현우,이동훈,이동희,이상민,이상영,이성훈,김재철,이정현,김주하,이호준,김효인,박노찬,장승화,박정숙,박정주,최대룡,김현,김은경,김원진,김병석,민진웅,이정현,전배수,이란희,최광일,김비비,정인겸,엄지만,신현빈,지한아,최원,이동민,서병철,권유준","(주)바른손,(주)씨제이이엔엠"
"7번방의 선물",91431950670,12811213,866,166817,2013-01-23,"(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","코미디,드라마","이환경","류승룡,박신혜,갈소원,정진영,오달수,박원상,김정태,정만식,김기천,장호준,김동민,박수진,박유경,박정배,조덕현,박상면,조재윤,박길수,이승연,김봉수,정희태,이윤희,오창경,한이진","(주)화인웍스,(주)씨엘엔터테인먼트"
"7호실",2679844639,348017,629,21854,2017-11-15,"롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","코미디","이용승","신하균,도경수,김동영,김종수,김종구,박수영,전석호,황정민,정희태,김도윤,정승길,박소영,조민성,윤세현,이광기,이재혁,김성종,우지현,박근록,최무성,김지영,이서환,박신아","(주)명필름"
"82년생 김지영",30298542310,3678156,1486,145441,2019-10-23,"롯데컬처웍스(주)롯데엔터테인먼트","12세이상관람가","드라마","김도영","이시영,정유미,공유,김미경,공민정,박성연,이봉련,김성철,이얼,전국향,박세현,김미경,손성찬,강애심,김정영,예수정,염혜란,김해나,어성욱,권귀빈,류아영,김하연,강별,기소유,이나윤,유준후,김용준,이지혜,우지현,이성욱,김지수,윤서진,김미지,이재인,이주원,원춘규,김해나,정준,김금순,윤사봉,정형석,손규원,신태양,최희진,박수진,김국희,정선아,김선미,이음,이승용,조백한,오해주,오일영,우도임,구재연,정태성,허태경,권지숙,백효성,김철진,김규도,김영표,김성태,김지우,송윤,이해운,최수빈,김남진,김선혜,주인영,조예린,고재원,천문정,정선아,김정원,예수정,염혜란","(주)봄바람영화사"
"B형 남자친구",7324579000,1174581,167,20316,2005-02-03,"롯데쇼핑㈜롯데엔터테인먼트","12세관람가","코미디","최석원","이동건,한지혜,김꽃비,김정우,강기화,최석주,최성은,이진환,이현진,김준수,이용주,김해곤,박현영,신이","(주)시네마제니스"
"GP 506",6316842000,936945,355,35830,2008-04-03,"(주)쇼박스","청소년관람불가","공포(호러),미스터리,스릴러","공수창","천호진,조현재,이영훈,이도겸,이정헌,김병철,강남미,성진욱,허문호,안호연,이태금,신진우,박창용,김기현,전정식,차봉주,이산복,박대성,김성범,박상언,오정우,이주환,민성욱,조진웅,문영동,문영동,손병호,박준혁","(주)보코픽쳐스"
"I AM",245809000,33018,137,2685,2012-06-21,"(주)씨제이이엔엠","전체관람가","다큐멘터리","최진성","정윤호,심창민,서현,최수영","(주)씨제이이엔엠,(주)에스엠엔터테인먼트"
"Mr.로빈 꼬시기",3990360200,680241,301,20110,2006-12-07,"롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","멜로/로맨스,코미디","김상우","엄정화,다니엘 헤니,오미연,장소연,최진호,김기현,손진호,최종률,박현영,옥지영,이운산,원우,권유준","(주)싸이더스"
"Mr.아이돌",515508500,74261,311,8669,2011-11-03,"롯데쇼핑㈜롯데엔터테인먼트,(주)시너지하우스 (시너지)","12세이상관람가","드라마","라희찬","우혜진,김수로,박예진,이재용,지현우,임원희,박재범,강다솔,김효은,김원영,박인규,김민상,정한진,박정진,최현미,박지호,이규희,방문정,한미선,조훈,한송희,채효정,채희송,천귀공,유영선,유재환,구민영,임대경,윤이슬,임사랑,임성현,최영희,최용준,오주환,정태민,장대운,김승룡,이용이,이원신,김주현,김지애,차종호,장영남,이철민,이한위,안서현,천성훈,이성우,원현준,장준유,박지연,이상훈,김영미,박윤호","데이지엔터테인먼트"
"PMC: 더 벙커",14024838424,1671548,1081,49806,2018-12-26,"(주)씨제이이엔엠","15세이상관람가","액션","김병우","하정우,이선균,제니퍼 엘,이상원,민무제,강신철,손성찬,안성봉,양지수,신현빈","(주)퍼펙트스톰필름"
"R2B: 리턴투베이스",8602921371,1201944,539,32881,2012-08-15,"(주)씨제이이엔엠","15세이상관람가","액션,드라마","김동원","정지훈,유준상,신세경,김성수,이하나,이종석,정경호,조성하,오달수,정석원,임태열,정호빈,김성철,이웅규,윤승남,박효준,정한용,최진호,엄효섭,전소현,류제승","(주)주머니필름,(주)빨간마후라,(주)씨제이이엔엠"
"S 다이어리",7024070500,1098583,169,20150,2004-10-22,"CJ ENM,아이러브시네마","15세관람가","코미디","권종관","공유,김광일,홍윤희,최우혁,이현우,이하나,김수로,김선화,김선아,김미경,최철수,안현주,서상우,임재연,오주은,이찬호,이철호,이충신,이찬호","(주)아이필름홀딩스"
"가려진 시간",3946968400,511131,884,30416,2016-11-16,"(주)쇼박스","12세이상관람가","드라마,판타지","엄태화","강동원,배영한,신은수,이효제,김희원,권해효,김단율,정우진,엄태구,박종환,김예지,이영상,조슬예,고민우,오희준,김정영,안지호,박지후,윤금선아,김준배,박성연,강덕중,김비비,백승진,김희상,김동현","(주)바른손이앤에이"
"가루지기",1777803000,269478,311,17600,2008-04-30,"(주)쇼박스","청소년관람불가","드라마,뮤지컬,코미디","신한솔","봉태규,김영애,이창민,김신아,오달수,윤여정,김상일,류미주,선현철,정현석,김동희,김호원,박은정,최진우,서영,박지형,반주현,한경훈,서민희,서성만,김대식,김대현,김기두,이성미,정나은,이성복,윤주식,박성원,박성호,이수민,이영한,김진미,이현우,김준성,김기현,장준녕,권병길,곽진무,박영서","(주)프라임엔터테인먼트"
"가면",2139483000,318614,200,11366,2007-12-27,"롯데쇼핑㈜롯데엔터테인먼트","청소년관람불가","스릴러,미스터리","양윤호","김강우,김원중,김민선,이수경,김유정,조명희,박인,박정선,서상민,유정아,장철수,박상철,오아름,오지영,김규리,최덕문,강성필,장원영,김서원","(주)디알엠엔터테인먼트"
"가문의 부활 - 가문의 영광3",15996330400,2598859,444,51434,2006-09-21,"(주)쇼박스","15세관람가","코미디","정용기","신현준,김원희,김수미,탁재훈,김도연,김응수,강병조,김홍규,임형준,박영식,백승주,고영식,고영식,권오태,서명석,서명석,서명석,서승인,김경준,민수진,유경미,장지은,이승철,오상만,이한글,공형진,정준하,김용건,김해곤,신이,장준휘,이민웅","(주)태원엔터테인먼트"
"가문의 영광4 - 가문의 수난",17792219500,2368267,537,48432,2011-09-07,"(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","코미디","정태원","김수미,신현준,임형준,정준하,탁재훈,현영,허필봉,정웅인,박정호,박정환,한용환,모상범,임정빈,여기한,오석규,이창세,김지우,김성주,정만식,김화섭","(주)태원엔터테인먼트"
"가문의 영광5 - 가문의 귀환",8330342500,1160021,447,29429,2012-12-19,"롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","코미디","정용기","조성현,정준호,김민정,유동근,성동일,박근형,박상욱,윤두준,황광희,유민,손나은,이창세,한정원,박준우,박효진,이주원,유혜정,이한위,왕석현,윤문식,남태부,김태준,김도영","(주)태원엔터테인먼트"
"가문의 위기(가문의 영광2)",28622355500,4529876,351,61009,2005-09-07,"(주)쇼박스","15세관람가","코미디","정용기","신현준,김수미,김원희,최은주,김효진,박은혜,임형준,한재혁,김인욱,이화란,장지영,김재희,장서윤,이미도,공형진,정준하,탁재훈,정호빈,최욱,김해곤,신이","(주)태원엔터테인먼트"
"가발",2816190000,448161,145,10156,2005-08-12,"CJ ENM","15세관람가","공포(호러)","원신연","방중현,채민서,유선,류현민,서현선,이윤희,진용욱","코리아 엔터테인먼트"
"가비",1969360500,270602,339,17388,2012-03-15,"(주)시네마서비스","15세이상관람가","드라마,멜로/로맨스,미스터리","장윤현","주진모,김소연,박희순,유선,손호승,채현우,홍준표,오동현,조승연,조덕현,조덕제,엄효섭,김응수,윤주만","(주)오션필름"
"가시",1095301000,142170,356,11622,2014-04-10,"(주)인벤트스톤","청소년관람불가","멜로/로맨스,드라마","김태균","장혁,조보아,선우선,이도아,박정희,박진영,박현준,장재원,유지연,윤승현,이상미,이동준,이영진,이종은,김미경,김예은,최원석,손희순","(주)캠프비,(주)뱅가드스튜디오"
"가을로",3653445400,601733,255,18905,2006-10-26,"롯데쇼핑㈜롯데엔터테인먼트","15세관람가","멜로/로맨스,드라마","김대승","유지태,엄지원,김경란,김지수,최종원,장석원,임종윤,조석영,김혜련,노승욱,유연정,김철홍,이봉규,정인기,김기천,김비비","㈜영화세상"
"가장 보통의 연애",24885803430,2924563,1073,111527,2019-10-02,"(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","멜로/로맨스,코미디","김한결","김래원,공효진,강기영,정웅인,장소연,이채은,정혜린,손우현,박근록,주민경,지일주,오동민,성병숙,차엽,윤경호,차중원,신민재,손영순,손산,이승찬,조재완,김연철,김영,배현성,조지현,송예진,정현규,심소연,손성찬,조영복,최정원,최지원,강소연,유하성,송규용,정미란,한예성,임지형,이건희,김진옥,박인영,이윤재,강은수,홍민성,민지안,임유란,송필근,손여은","영화사 집"
"가족",8051239500,1270581,104,25473,2004-09-03,"(주)튜브엔터테인먼트","15세관람가","드라마","이정철","수애,주현,박지빈,박희순,박상영,정욱,박상우,오현수,전국환","튜브픽쳐스(주)"
"각설탕",7631785700,1265508,228,25009,2006-08-10,"CJ ENM","전체관람가","드라마","이환경","임수정,박은수,김유정,김광규,박길수,정경호,유오성,허재영,신형철,박태종,배정윤,양희진,이태용,이준철,오태경,김상호,권병길,김기천","(주)싸이더스"
"간 큰 가족",8212961893,1305518,247,31517,2005-06-09,"(주)쇼박스","12세관람가","코미디","조명남","감우성,김수미,김수로,김도연,조용희,김기철,김길라,정현우,유장식,최성용,김영희,김용완,성지루,전국환,신이,박충선,김태곤,이칸희,최교식,정희태,오창경","(주)두사부필름"
"간기남",9356404500,1246185,396,38155,2012-04-11,"(주)쇼박스","청소년관람불가","코미디,스릴러","김형준","박희순,박시연,주상욱,김정태,이한위,이광수,박희순,차수연,전승환,차종호,이상헌,신현탁,김강일,김윤성,김경룡","(주)트로피엔터테인먼트,㈜더드림앤드픽쳐스"
"간신",8947046910,1110274,697,40591,2015-05-21,"롯데쇼핑㈜롯데엔터테인먼트","청소년관람불가","사극","민규동","이채민,주지훈,김강우,천호진,임지연,이유영,김현수,문희경,박시영,박아영,임효우,전미정,전태호,박은영,박은영,박재성,박주희,박지수,정수지,정재우,배효진,조명행,조용완,송영창,차지연,성진아,최창훈,신동필,양정민,염재민,한진구,이보라,홍의정,황동희,이소희,이솔,이승주,이용호,이용호,이윤지,김태희,서영주,기주봉,장광,류아벨,김강일,정만식,최일화,전여빈,박명신,민성욱,김도영,손수현,고경표,정인기,주가영,박경찬,곽자형,오창경,임용순,손영희,이슬기,이상철","(주)수필름"
"간첩",9316548500,1310895,576,41726,2012-09-20,"롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","드라마,코미디,액션","우민호","김명민,염정아,유해진,변희봉,정겨운,정만식,이승호,오나라,천보근,박진우,장호준,정병두,조민호,최두선,박유영,박현수,서규선,박일목,조영진,김민재,오광록,서현우,김자영,류제승,정병두,한이진,곽진석","(주)영화사울림"
"감기",21774884000,3117859,806,55046,2013-08-14,"아이러브시네마","15세이상관람가","드라마,어드벤처,액션","김성수","장혁,수애,박민하,유해진,이희준,김기현,이상엽,박효주,박정민,최병모,마동석,차인표,정석원,나기찬(윤숭태),정재형,김남준,한승희,전상진,이영수,한정학,이학수,장슬기,김태준,박성철,박예슬,박진혁,박희권,유순철,나윤성,남문철,이윤희,설창희,최정현,김서원,양도현,이람,이동진","아이러브시네마,(주)아이필름홀딩스,(주)씨제이이엔엠"
"감시자들",39380162179,5508017,949,100309,2013-07-03,"(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","범죄,액션","조의석,김병서","설경구,서지원,정우성,한효주,진경,이준호,임달화,손민석,김대진,이태형,이동휘,이화정,김진곤,박지훈,김지훈,신성일,변요한,정우근,장원형,장유리,조도연,지영준,한영주,문성렬,박영진,박지연,백동현,신경철,이가람,이상민,김병옥,윤돈선,강신하,이동진","영화사 집"
"감쪽같은 그녀",3594862790,469296,761,24843,2019-12-04,"메가박스중앙(주)플러스엠","전체관람가","드라마","허인무","나문희,김수안,천우희,최수영,연제욱,정유진,고규필,임한빈,강보경,심완준,최정윤,진선미,임현성,이용이,이미영,박서진,김서영,권소현,송지안,유지연,연송하,김지유,박지원,허재호,정예진,최경미,남윤주,차승호,박신혜,김미우,현소라,유채은,주혜지,김지원,김재철,서예선,서은진,이현옥,송민석,송원종,송채원,박인성,문현옥,이현지","(주)지오필름"
"강남 1970",17718699499,2192276,841,53304,2015-01-21,"(주)쇼박스","청소년관람불가","액션,드라마","유하","이민호,김래원,정진영,설현,유승목,한재영,이연두,정호빈,최진호,엄효섭,최병모,지대한,전배수,윤종화,서우진,이인혁,이정완,이주협,박소희,박시연,이한울,임성숙,장준혁,전우재,강풍,박재영,박재희,박준영,정영택,백동현,정창용,조선기,서현석,천영암,손재영,주연서,신영규,양진석,오형근,윤지원,이규석,김원진,이성용,이성준,이세훈,황재진,이원희,이은주,안정우,정진영,김지수,곽민호,이가경,한준우,이성우,임용순,박기륭,유정호,신유람,박태산,남진복,박혁민,서병철","(주)모베라픽처스,(주)쇼박스"
"강력 3반",5053205500,828112,174,19951,2005-09-29,"롯데쇼핑㈜롯데엔터테인먼트","15세관람가","액션","손희창","김민준,허준호,남상미,김광일,김정태,김응수,강경덕,김태환,박규선,유혜진,윤영민,정재욱,박상면,장항선,남문철,조성하,이미은,윤지혜,김태훈,조영규","(주)씨네넷"
"강적",1956841000,318142,235,12049,2006-06-22,"(주)쇼박스","15세관람가","액션,드라마","조민호","박중훈,천정명,강민수,최창민,심재원,안정희,장보영,강정원,최동건,김성관,박대현,윤서현,윤성재,구정욱,김철구,최영환,오경수,김주범,최명수,조진웅,김준배,김학선,황석정,한기중,김중기,문정희,염혜란,이미은,유인영,백현진,조영규,송대중","(주)미로비젼"
"강철대오:구국의 철가방",1614867156,233211,366,15187,2012-10-25,"롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","코미디","육상효","김인권,유다인,조정석,박철민,이현학,임명현,임진택,임하나,김선혜,한국진,손영민,이규섭,손진우,유신애,최민,김인우,신현빈,박영수,오희준,조경현,차청화,박영서","스페이스엠(주)"
"강철비",35490346466,4452850,1426,80359,2017-12-14,"(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","액션,드라마","양우석","정우성,곽도원,김갑수,김의성,이경영,조우진,정원중,김명곤,박은혜,김지호,안미나,원진아,정유나,이상민,이정호,정환,한승헌,박민희,한창현,이양희,현봉식,손성찬,이지원,강덕중,최현종,권범택,천재홍,정종우","(주)와이웍스엔터테인먼트,(주)모팩"
"강철중: 공공의 적 1-1",28638460100,4313101,707,74157,2008-06-19,"CJ ENM,(주)시네마서비스","15세이상관람가","드라마,액션","강우석","설경구,정재영,강신일,유해진,탁트인,이상현,김윤성,이재원,조한영,박창용,박태훈,김건호,김재득,임장현,이민호,김태한,정원중,김영옥,김영필,이한솔,리우진,박혁민,차영남,박영서","(주)시네마서비스글로벌,(주)시네마서비스"
"거룩한 계보",8759204600,1433696,372,32113,2006-10-19,"CJ ENM","15세관람가","드라마,액션","장진","정재영,정준호,김성훈,김상일,주진모,박용민,김향배,박지형,장아람,김광현,김규철,김도희,김성진,임도영,정용수,이승영,오창렬,이영준,이정,장영남,이철민,이한위,이해영,윤유선,이상훈","(주)시네마서비스글로벌"
"거북이 달린다",20618276000,3024666,432,69946,2009-06-11,"(주)쇼박스","15세이상관람가","드라마,액션,범죄","이연우","김윤석,정경호,견미리,선우선,서동수,이효권,최수현,양현석,김종근,김준희,최권,라미란,신정근,이무생,조덕제,유하복,차은재,김희원,박선준,염동헌,최홍일,류성현","(주)씨네이천"
"건축학개론",30223590400,4111237,593,106069,2012-03-22,"롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","멜로/로맨스,드라마","이용주","엄태웅,한가인,이제훈,배수지,고준희,조정석,신민영,신예진,유연석,조현철,박진우,김의성,이승호,박수영,박지은","(주)명필름"
"걷기왕",710905075,95542,462,10476,2016-10-20,"CGV아트하우스","12세이상관람가","드라마","백승화","심은경,박주희,김새벽,허정도,윤지원,안승균,김광규,김정영,이재진,이준용,박민준,장현진,방범석,정규환,오은비,조주형,이규진,이동혁,이수아,최봉석,황수진,김신동,이주영,안재홍,이나영,최원","㈜인디스토리"
"걸스카우트",1545587500,248813,265,13200,2008-06-05,"롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","드라마,범죄,코미디","김상만","나문희,김선아,고준희,최정우,강대희,성동명,소희,손종규,박영훈,임진영,박용철,홍의정,심은정,안태호,이기연,김동민,이건문,이동조,김남윤,지영,지현욱,김경민,최경수,이봉수,윤석찬,임형진,박상현,최승기,정세현,김철준,김창식,김신주,정세형,김향기,정민성,신유람","(주)보경사"
"걸캅스",13812802134,1629528,973,63163,2019-05-09,"(주)씨제이이엔엠","15세이상관람가","코미디,액션","정다원","라미란,이성경,윤상현,최수영,염혜란,위하준,주우재,강홍석,김도완,이정민,신현숙,이레,조혜주,배유람,임현성,안재홍,한수현,조병규,강문봉,강성하,박소은,서석규,서성현,김광섭,옥자연,성동일,소희정,백승환,김미지,김민경,안대웅,안성봉,여이레,오상준,오상준,오성현,오세환,김성균,오하늬,김성종,김송이,최예림,이성규,김정교,조미라,조서진,김정현,전소영,김승아,이진성,황필규,황필성,김신우,최준영,이가희,김준,강신하,김지나,이금용,이기원,김지유,이승훈,최혜진,김한상,김병남,하정우,이영아,김세진,김태준,이확광,임예은,한수연,조예진,김용진,김춘심,김해정,류대산,나대남,위하준,노승은,이윤희,정두원,이은숙,정세인,김철환,김찬희,윤현길,신한숙,이도연,최병윤,김진욱,이문빈,심희진,이선정,안창환,이의수,전석호,여시현,여은지,여은지,임현철,오성미,설창희,하연희,송지혁,한건희,임범용,황이현,박두희,허단비,곽민석","(주)필름모멘텀"
"걸프렌즈",781692500,108396,245,8038,2009-12-17,"(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","멜로/로맨스,코미디","강석범","강혜정,한채영,허이재,배수빈,김혜옥,손정민,김보민,유재웅,곽진석,전수민,최승훈,이예슬,이혜승,박성웅,산다라 박,지대한,조은지,공정환,최교식,곽진석","영화사 아람(주),(주)미로비젼"
"검사외전",77320403264,9707581,1812,153532,2016-02-03,"(주)쇼박스","15세이상관람가","범죄,코미디","이일형","황정민,강동원,이성민,박성웅,김응수,신소율,주진모,김원해,김홍파,김병옥,박종환,전배수,박지환,손종학,신혜선,김시은,김종수,한재영,박지환,박종우,박지홍,송승현,윤석민,이규호,이석준,이선주,이승우,이승준,이승훈,이승훈,최현준,김영,이정은,장지건,한창현,정기섭,민무제,손성찬,윤경호,최교식,류성현,백익남,백인권,전광진,임용순,박윤호,최정현,남진복,염석무,이형훈,이승민","(주)영화사 월광,(주)사나이픽처스"
"검은 사제들",42409600592,5442915,1109,131177,2015-11-05,"(주)씨제이이엔엠","15세이상관람가","미스터리,드라마","장재현","김윤석,강동원,박소담,김병옥,김의성,이호재,남일우,김동현,김미영,김혜민,박지수,송선찬,이상민,이승훈,이현우,손종학,조수향,남문철,김수진,민진웅","영화사 집"
"검은 집",8842295700,1322196,332,39880,2007-06-21,"CJ ENM","청소년관람불가","스릴러,미스터리,공포(호러)","신태라","김혜정,황정민,유선,송찬호,최정자,강신일,최찬민,김상택,이승은,양홍준,유지연,손호승,윤재성,문가영,이해영,유승목,이주실,원애리,김승훈,정인기,손병욱","CJ ENM,가도카와헤럴드픽쳐스"
"검은손",89815665,11650,178,2572,2015-04-16,"(주)스톰픽쳐스코리아","청소년관람불가","공포(호러)","박재식","김성수,한고은,배그린,신정선,전현숙,서범석,한성아,이철민,유하복,차은재,이언수","골든타이드픽처스(주)"
"게이트",821271100,101381,208,5474,2018-02-28,"(주)제이앤씨미디어그룹","15세이상관람가","범죄,코미디","신재호","정려원,임창정,정상훈,이경영,이문식,이세랑,윤송아,이수아,김지성,김보민,김보민,김연정,김도훈,김경룡,김미향,한이진,김종태,최윤슬,전정일","삼삼공구 브라더스"
"결정적 한방",439400000,60944,160,6266,2011-12-07,"(주)화앤담이엔티","15세이상관람가","코미디,드라마","박중구","유동근,윤진서,김정훈,송수현,조민우,김원중,오광록,조윤정,주영훈,이동주,김남순,권창환,한우정,유요한,장인수,최소라,임아인,박세진,오제헌,최윤호,이채은,이태동,이유진,한보름,서우진,정상훈,조성하,박충선,지찬","(주)오디이엔티"
"결혼전야",8444355719,1214839,524,38846,2013-11-21,"씨너스엔터테인먼트(주)","15세이상관람가","멜로/로맨스,코미디","홍지영","김강우,김효진,주지훈,이연희,옥택연,마동석,구잘 투르수노바,이희준,고준희,최종윤,정민주,이미도,최병모,김광규,장광,황정민,오나라,임병우,이주실,민성욱,주부진","(주)수필름"
"경성학교: 사라진 소녀들",2749609100,356415,489,18520,2015-06-18,"롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","미스터리,드라마","이해영","박보영,엄지원,박소담,공예지,주보비,박성연,심희섭,고원희,박주희,이혜리,박지선,조원철,최영근,최지명,신수연,김경애,김대성,김대호,오현정,이다희,황석영,이연정,이예은,이은경,윤정미,서미지,목규리,금새록,박성연,김동현","청년필름(주),비밀의화원"
"계춘할망",3602649348,482784,526,19653,2016-05-19,"(주)콘텐츠 난다긴다","15세이상관람가","가족,드라마","창","윤여정,김고은,김희원,신은정,최민호,류준열,양익준,박민지,남태부,강경탁,안소요,이상화,이슬비,이윤혁,신문성,오희준,김영철,주가영,송영숙","지오엔터테인먼트,(주)퍼플켓츠필름,(주)빅스토리픽쳐스"
