"영화명","누적관객수","매출액점유율","누적매출액","스크린수","매출액","관객수","상영횟수","개봉일","제작사","배급사","등급","장르","감독","배우"
"내사랑 싸가지",296125,0.3,1836153500,22,1836153500,296125,2967,"2004-01-16","제이웰엔터테인먼트(주)","(주)시네마서비스","12세관람가","코미디","신동엽","김재원"
"말죽거리 잔혹사",604969,0.6,3837152000,40,3837152000,604969,5513,"2004-01-16","(주)싸이더스","CJ ENM","15세관람가","액션","유하","권상우"
"빙우",55656,0.1,363240500,18,363240500,55656,1015,"2004-01-16","쿠앤필름(주)","(주)쇼박스","12세관람가","드라마","김은숙","김하늘"
"그녀를 모르면 간첩",30435,0,187798000,22,187798000,30435,822,"2004-01-30","(주)엠쓰리엔터테인먼트","(주)쇼박스","15세관람가","코미디","박한준","공유"
"안녕! 유에프오",40361,0,250534000,17,250534000,40361,864,"2004-01-30","우리영화(주)","(주)튜브엔터테인먼트","전체관람가","드라마","김진민","김응수"
"태극기 휘날리며",2544986,2.3,15687429500,115,15687429500,2544986,22376,"2004-02-05","강제규필름","(주)다자인소프트","15세관람가","전쟁","강제규","장동건"
"마법경찰 갈갈이와 옥동자",3074,0,18446500,13,18446500,3074,252,"2004-02-13","(주)토토엔터테인먼트","콜럼비아트라이스타㈜","전체관람가","코미디","이한열","박준형"
"그녀를 믿지 마세요",298221,0.3,1859615500,25,1859615500,298221,4664,"2004-02-20","㈜영화사시선","(주)시네마서비스","12세관람가","코미디","배형준","강동원"
"목포는 항구다",425725,0.4,2673832500,25,2673832500,425725,6239,"2004-02-20","기획시대(주)","코리아픽쳐스(주)","15세관람가","드라마","김지훈","김윤태"
"어깨동무",119884,0.1,753985500,26,753985500,119884,3015,"2004-03-12","(주)씨케이픽쳐스","CJ ENM","15세관람가","코미디","조진규","김아중"
"어디선가 누군가에 무슨일이 생기면 틀림없이 나타난다 홍반장",181510,0.2,1158210500,28,1158210500,181510,3570,"2004-03-12","㈜제니스엔터테인먼트","(주)시네마서비스","12세관람가","코미디","강석범","김주혁"
"고독이 몸부림칠 때",10745,0,68938500,20,68938500,10745,826,"2004-03-19","(주)마술피리","(주)쇼박스","15세관람가","코미디","이수인","주현"
"맹부삼천지교",229240,0.2,1424995500,56,1424995500,229240,5254,"2004-03-26","코리아 엔터테인먼트","CJ ENM","15세관람가","코미디","김지영","손창민"
"마지막 늑대",47731,0,303851500,26,303851500,47731,1646,"2004-04-01","제네시스픽쳐스(주)","(주)쇼박스","15세관람가","코미디","구자홍","황정민"
"어린 신부",991674,0.9,6240174500,70,6240174500,991674,12895,"2004-04-02","(주)컬처캡미디어","코리아픽쳐스(주)","12세관람가","코미디","김호준","김래원"
"바람의 전설",97925,0.1,636285500,42,636285500,97925,2889,"2004-04-09","필름매니아(주)","(주)시네마서비스","15세관람가","드라마","박정우","이성재"
"범죄의 재구성",943241,0.9,6138742500,73,6138276800,943174,11504,"2004-04-15","(주)싸이더스","(주)쇼박스","18세관람가","스릴러","최동훈","김윤석"
"라이어",108156,0.1,706033000,51,706033000,108156,3092,"2004-04-23","씨앤필름(주)","CJ ENM","18세관람가","코미디","김경형","주진모"
"아라한 장풍대작전",810406,0.8,5207905000,82,5207905000,810406,12593,"2004-04-30","(주)싸이더스","(주)시네마서비스","12세관람가","액션","류승완","류승범"
"효자동 이발사",748380,0.7,4855872900,83,4855872900,748380,10745,"2004-05-05","영화사청어람(주)","(주)쇼박스","15세관람가","드라마","임찬상","문소리"
"클레멘타인",3562,0,22983000,9,22983000,3562,247,"2004-05-21","펄스타 픽쳐스","(주)엔터모드","15세관람가","액션","김두영","이동준"
"내 여자친구를 소개합니다",1298666,1.2,8329341500,185,8329341500,1298666,19289,"2004-06-03","(주)아이필름홀딩스","CJ ENM","15세관람가","멜로/로맨스","곽재용","전지현"
"페이스",238950,0.2,1534151500,69,1534151500,238950,5674,"2004-06-11","(주)태원엔터테인먼트","(주)시네마서비스","15세관람가","공포(호러)","유상곤","송윤아"
"령",558807,0.5,3554937000,74,3554937000,558807,8781,"2004-06-17","㈜팝콘필름","(주)쇼박스","12세관람가","공포(호러)","김태경","김하늘"
"나두야 간다",193554,0.2,1215167500,60,1215167500,193554,5005,"2004-06-25","화이트리시네마","롯데쇼핑㈜롯데시네마","15세관람가","코미디","정연원","권용운"
"아는 여자",736319,0.7,4686251500,81,4686251500,736319,10950,"2004-06-25","필름있수다","(주)시네마서비스","15세관람가","드라마","장진","이나영"
"달마야, 서울 가자",703507,0.7,4469579500,128,4469579500,703507,10918,"2004-07-09","(주)타이거픽쳐스","(주)시네마서비스","15세관람가","코미디","육상효","김지영"
"투 가이즈",568230,0.5,3584851500,93,3584851500,568230,8311,"2004-07-09","(주)에스씨에스엔터테인먼트","쇼이스트(주)","15세관람가","코미디","박헌수","김성훈"
"내 남자의 로맨스",765720,0.7,4895975500,102,4895975500,765720,9658,"2004-07-16","메이필름(주)","CJ ENM","12세관람가","드라마","박제현","김상경"
"그놈은 멋있었다",372591,0.3,2309055500,77,2309055500,372591,5425,"2004-07-22","엘티 픽쳐스","프라임픽쳐스","15세관람가","코미디","이환경","송승헌"
"늑대의 유혹",1297296,1.2,8025959500,123,8025959500,1297296,12777,"2004-07-22","(주)싸이더스","(주)쇼박스","12세관람가","드라마","김태균","강동원"
"돌려차기",41401,0,254315500,53,254315500,41401,1807,"2004-07-23","(주)씨네이천","(주)시네마서비스","12세관람가","코미디","남상국","박지연"
"날으는 돼지 - 해적 마테오",6495,0,39599000,6,39599000,6495,220,"2004-07-24","동우에이앤이(주)","에이아이씨코리아(AIC KOREA)","전체관람가","애니메이션","송근식","강수진"
"누구나 비밀은 있다",542955,0.5,3529353500,88,3529353500,542955,7650,"2004-07-30","(주)태원엔터테인먼트","(주)시네마서비스","18세관람가","코미디","장현수","김효진"
"인형사",214709,0.2,1324401000,60,1324401000,214709,4035,"2004-07-30","(주)필마픽쳐스","롯데쇼핑㈜롯데시네마","15세관람가","공포(호러)","정용기","임은경"
"분신사바",608479,0.6,3828714000,97,3828714000,608479,9877,"2004-08-05","(주)소프트랜드 영상 사업부 에이포스트 픽쳐스","브에나비스타인터내셔널코리아","15세관람가","공포(호러)","안병기","김규리"
"신부수업",675521,0.6,4255753000,113,4255753000,675521,9931,"2004-08-05","기획시대(주)","코리아픽쳐스(주)","12세관람가","드라마","허인무","하지원"
"망치",36200,0,214344500,32,214344500,36200,1238,"2004-08-06","캐릭터플랜(주)","스폰지","전체관람가","애니메이션","안태근","김용준"
"얼굴 없는 미녀",346015,0.3,2228765000,72,2228765000,346015,5594,"2004-08-06","(주)아이필름홀딩스","CJ ENM","18세관람가","스릴러","김인식","김혜수"
"바람의 파이터",1442299,1.3,9158945500,110,9158945500,1442299,15895,"2004-08-12","아이비젼엔터테인먼트(주)","영화사청어람(주)","12세관람가","액션","양윤호","양동근"
"시실리 2km",1263196,1.2,8049487000,86,8049487000,1263196,16919,"2004-08-13","한맥영화(주)","(주)쇼박스","15세관람가","코미디","신정원","권오중"
"쓰리 몬스터",180377,0.2,1161290500,60,1161290500,180377,3970,"2004-08-20","(주)영화사봄","CJ ENM","18세관람가","공포(호러)","박찬욱","강혜정"
"알포인트",1068087,1,6792339000,100,6792339000,1068087,15833,"2004-08-20","씨앤필름(주)","(주)시네마서비스","15세관람가","전쟁","공수창","감우성"
"가족",1270581,1.2,8051239500,104,8051239500,1270581,25473,"2004-09-03","튜브픽쳐스(주)","(주)튜브엔터테인먼트","15세관람가","드라마","이정철","수애"
"돈 텔 파파",558745,0.5,3481025000,81,3481025000,558745,10664,"2004-09-03","기획시대(주)","CJ ENM","15세관람가","코미디","이상훈","정웅인"
"도마 안중근",20318,0,128953000,59,128953000,20318,1814,"2004-09-10","(주)소스원프로덕션","(주)소스원프로덕션","전체관람가","드라마","서세원","유오성"
"귀신이 산다",1875936,1.7,11898748500,174,11898748500,1875936,27936,"2004-09-17","(주)시네마서비스","(주)시네마서비스","12세관람가","코미디","김상진","김응수"
"슈퍼스타 감사용",627199,0.6,4073017000,128,4073017000,627199,15185,"2004-09-17","(주)싸이더스","CJ ENM","전체관람가","드라마","김종현","이범수"
"꽃피는 봄이 오면",497689,0.5,3201626000,117,3201626000,497689,11734,"2004-09-23","(주)씨즈엔터테인먼트","영화사청어람(주)","12세관람가","드라마","류장하","최민식"
"우리 형",1778607,1.6,11090682500,211,11090682500,1778607,29282,"2004-10-08","(주)진인사필름","CJ ENM","15세관람가","드라마","안권태","원빈"
"썸",237763,0.2,1488328000,121,1488328000,237763,8366,"2004-10-22","씨앤필름(주)","(주)시네마서비스","15세관람가","스릴러","장윤현","고수"
"S 다이어리",1098583,1,7024070500,169,7024070500,1098583,20150,"2004-10-22","(주)아이필름홀딩스","CJ ENM","15세관람가","코미디","권종관","공유"
"주홍글씨",1030623,1,6649854000,190,6649100000,1030389,18783,"2004-10-29","(주)엘제이필름","(주)쇼박스","18세관람가","스릴러","변혁","성현아"
"내 머리 속의 지우개",1887868,1.7,11936105600,206,11920052500,1885845,29534,"2004-11-05","(주)싸이더스","CJ ENM","12세관람가","멜로/로맨스","이재한","정우성"
"여선생 VS 여제자",846683,0.8,5265267506,182,5265267506,846683,20960,"2004-11-17","(주)좋은영화","CJ ENM","15세관람가","코미디","장규성","김응수"
"신암행어사",41816,0,251066500,66,251066500,41816,2614,"2004-11-26","캐릭터플랜(주)","(주)시네마서비스","15세관람가","애니메이션","안태근","구자형"
"DMZ, 비무장지대",102233,0.1,659079000,65,659079000,102233,4649,"2004-11-26","이규형시네마(주)","영화사청어람(주)","18세관람가","드라마","이규형","김정훈"
"까불지마",155308,0.1,999160000,90,999160000,155308,6418,"2004-12-03","제이유프로덕션(주)","영화사청어람(주)","15세관람가","드라마","오지명","오지명"
"발레 교습소",87435,0.1,531276500,83,531276500,87435,3574,"2004-12-03","좋은영화","CJ ENM","15세관람가","드라마","변영주","윤계상"
"역도산",1018369,0.9,6482309500,223,6482309500,1018369,17468,"2004-12-15","(주)싸이더스","CJ ENM","12세관람가","드라마","송해성","설경구"
"여고생 시집가기",57943,0.1,357352000,51,357352000,57943,2136,"2004-12-23","(주)더존필름","무비즈엔터테인먼트㈜","15세관람가","코미디","오덕환","은지원"
"신석기 블루스",282552,0.3,1797632500,99,1797632500,282552,7678,"2004-12-30","㈜팝콘필름","(주)쇼박스","15세관람가","코미디","김도혁","김현주"
"몽정기2",813164,0.7,5110555000,147,5110555000,813164,15130,"2005-01-14","(주)엠케이픽처스","롯데쇼핑㈜롯데엔터테인먼트","15세관람가","코미디","정초신","이지훈"
"키다리 아저씨",440850,0.4,2789824500,121,2789824500,440850,11270,"2005-01-14","웰메이드엔터테인먼트","CJ ENM","12세관람가","드라마","공정식","하지원"
"공공의 적 2",3134421,2.9,20091127000,299,20091127000,3134421,40642,"2005-01-27","(주)시네마서비스","(주)시네마서비스","15세관람가","드라마","강우석","설경구"
"말아톤",4196840,3.8,26284943000,238,26284943000,4196840,59493,"2005-01-27","시네라인투(주)","(주)쇼박스","전체관람가","드라마","정윤철","조승우"
"그때 그 사람들",890602,0.8,5777900500,140,5777900500,890602,16473,"2005-02-03","(주)엠케이픽처스","(주)엠케이픽처스","15세관람가","미스터리","임상수","한석규"
"B형 남자친구",1174581,1.1,7324579000,167,7324579000,1174581,20316,"2005-02-03","(주)시네마제니스","롯데쇼핑㈜롯데엔터테인먼트","12세관람가","코미디","최석원","이동건"
"레드 아이",210793,0.2,1313457500,86,1313457500,210793,7241,"2005-02-18","태창엔터테인먼트(주)","영화사청어람(주)","12세관람가","공포(호러)","김동빈","송일국"
"제니, 주노",216516,0.2,1283847500,99,1283847500,216516,7606,"2005-02-18","(주)컬처캡미디어","쇼이스트(주)","15세관람가","드라마","김호준","김혜성"
"파송송 계란탁",1003026,0.9,6292855500,155,6292855500,1003026,21505,"2005-02-18","(주)굿플레이어","CJ ENM","15세관람가","코미디","오상훈","이인성"
"마파도",2636857,2.5,16751202503,178,16751202503,2636857,49473,"2005-03-10","코리아 엔터테인먼트","CJ ENM","15세관람가","코미디","추창민","김수미"
"잠복근무",1533225,1.4,9590663500,214,9590663500,1533225,32277,"2005-03-17","(주)마인엔터테인먼트 ","(주)쇼박스","15세관람가","코미디","박광춘","김원진"
"가능한 변화들",2011,0,13703500,6,13703500,2011,163,"2005-03-18","(주)무비넷","(주)무비넷","18세관람가","드라마","민병국","김유석"
"달콤한 인생",1112734,1.1,7233889100,265,7233889100,1112734,30664,"2005-04-01","(주)영화사봄","CJ ENM","18세관람가","액션","김지운","이병헌"
"주먹이 운다(Crying Fist)",1462972,1.4,9322812000,249,9322812000,1462972,32964,"2005-04-01","(주)브라보엔터테인먼트","쇼이스트(주)","15세관람가","드라마","류승완","최민식"
"엄마",161780,0.1,978382500,113,978382500,161780,8844,"2005-04-07","필름뱅크(주)","영화사청어람(주)","전체관람가","드라마","구성주","고두심"
"나는 나를 파괴할 권리가 있다",1257,0,8076000,17,8076000,1257,352,"2005-04-15","(주)동녘필름","무비즈엔터테인먼트㈜","15세관람가","드라마","전수일","추상미"
"역전의 명수",510290,0.5,3222783000,178,3222783000,510290,17754,"2005-04-15","(주)태원엔터테인먼트","(주)시네마서비스","15세관람가","코미디","박흥식","정준호"
"댄서의 순정",1856759,1.7,11674131000,240,11674131000,1856759,36482,"2005-04-28","(주)컬처캡미디어","쇼이스트(주)","12세관람가","드라마","박영훈","박건형"
"혈의 누",1926592,1.8,12367486506,264,12367486506,1926592,35167,"2005-05-04","(주)싸이더스","(주)시네마서비스","18세관람가","스릴러","김대승","차승원"
"활",1382,0,9480500,1,9480500,1382,101,"2005-05-12","(주)김기덕 필름","(주)김기덕 필름","15세관람가","드라마","김기덕","서지석"
"남극일기",871235,0.8,5478113500,244,5478113500,871235,18655,"2005-05-19","(주)미로비젼","(주)쇼박스","15세관람가","스릴러","임필성","박희순"
"연애술사",1014372,0.9,6383653500,155,6383653500,1014372,23610,"2005-05-20","㈜필름지","CJ ENM","15세관람가","멜로/로맨스","천세환","연정훈"
"프락치",372,0,2649500,2,2649500,372,52,"2005-05-20","씨네굿","CJ ENM","15세관람가","드라마","황철민","양영조"
"안녕, 형아",924019,0.8,5614875500,158,5614875500,924019,24235,"2005-05-27","(주)명필름","(주)시네마서비스","전체관람가","드라마","임태형","박원상"
"태풍태양",47935,0,304884500,101,304884500,47935,3836,"2005-06-02","필름매니아(주)","쇼이스트(주)","12세관람가","드라마","정재은","김강우"
"간 큰 가족",1305518,1.2,8212961893,247,8212961893,1305518,31517,"2005-06-09","(주)두사부필름","(주)쇼박스","12세관람가","코미디","조명남","감우성"
"연애의 목적",1524898,1.4,9846423390,243,9846423390,1524898,29871,"2005-06-10","(주)싸이더스","CJ ENM","18세관람가","드라마","한재림","강혜정"
"분홍신",1072940,1,6768135000,182,6768135000,1072940,22227,"2005-06-30","청년필름(주)","(주)쇼박스","15세관람가","공포(호러)","김용균","김혜수"
"목두기 비디오",984,0,6735500,1,6735500,984,75,"2005-07-15","티엠오이엔터테인먼트","(주)동숭아트센터","12세관람가","미스터리","윤준형","양아람"
"여고괴담 4 : 목소리",397327,0.4,2474641500,167,2474641500,397327,12932,"2005-07-15","(주)씨네이천","(주)시네마서비스","15세관람가","공포(호러)","최익환","김옥빈"
"천군",933147,0.9,5852391000,186,5852391000,933147,18850,"2005-07-15","(주)싸이더스","(주)쇼박스","15세관람가","액션","민준기","박중훈"
"그리스 로마신화 - 올림포스 가디언 - 기간테스 대역습",21177,0,120106500,53,120106500,21177,1318,"2005-07-28","지엔지엔터테인먼트","(주)스폰지이엔티","전체관람가","액션","김준","손원일"
"친절한 금자씨",3122056,3,20503781593,386,20494859393,3120954,41546,"2005-07-29","(주)모호필름","CJ ENM","18세관람가","스릴러","박찬욱","이영애"
"웰컴 투 동막골",6436508,5.9,40328508500,356,40328508500,6436508,72108,"2005-08-04","필름있수다","(주)쇼박스","12세관람가","전쟁","박광현","신하균"
"박수칠 때 떠나라",2073641,1.9,13181626500,237,13181626500,2073641,32149,"2005-08-11","(주)어나더썬데이","(주)시네마서비스","15세관람가","드라마","장진","차승원"
"왕후 심청",72702,0.1,425763000,57,419308000,71369,2017,"2005-08-11","코아필름서울(주)","(주)영화사한결","전체관람가","애니메이션","넬슨 신","강희선"
"가발",448161,0.4,2816190000,145,2816190000,448161,10156,"2005-08-12","코리아 엔터테인먼트","CJ ENM","15세관람가","공포(호러)","원신연","방중현"
"이대로, 죽을 순 없다(Short Time)",679352,0.6,4266661500,164,4266661500,679352,16389,"2005-08-18","(주)매쉬필름","쇼이스트(주)","12세관람가","코미디","이영은","이범수"
"첼로-홍미주 일가 살인사건",158318,0.1,985067500,124,985067500,158318,6573,"2005-08-18","탁함 필름","(주)튜브엔터테인먼트","15세관람가","공포(호러)","이우철","성현아"
"바리바리 짱",9750,0,56822500,44,56822500,9750,695,"2005-08-19","나눔엔터테인먼트","CJ ENM","12세관람가","코미디","남기남","김시덕"
"초승달과 밤배",3518,0,21177000,6,21177000,3518,300,"2005-08-25","(주)신씨네","엔넷커뮤니케이션(주)","전체관람가","드라마","장길수","김애경"
"가문의 위기(가문의 영광2)",4529876,4.2,28622355500,351,28622355500,4529876,61009,"2005-09-07","(주)태원엔터테인먼트","(주)쇼박스","15세관람가","코미디","정용기","신현준"
"외출",678786,0.6,4376240500,244,4378330500,679157,21710,"2005-09-07","블루스톰(주)","쇼이스트(주)","18세관람가","멜로/로맨스","허진호","배용준"
"형사 Duelist",922183,0.9,5847214000,292,5847214000,922183,22237,"2005-09-08","웰메이드엔터테인먼트","코리아픽쳐스(주)","12세관람가","멜로/로맨스","이명세","강동원"
"종려나무 숲",14323,0,88488000,30,88488000,14323,1156,"2005-09-15","(주)영화사참","롯데쇼핑㈜롯데엔터테인먼트","15세관람가","드라마","유상욱","김민종"
"동백꽃",827,0,5201500,4,5105500,813,106,"2005-09-16","딴생각","㈜인디스토리","18세관람가","드라마","최진성","김왕근"
"빛나는 거짓",296,0,1924000,1,1924000,296,66,"2005-09-16","빛나는영화사","㈜인디스토리","15세이상관람가","드라마","채기","옥지영"
"너는 내 운명",2701244,2.6,17653822500,306,17653822500,2701244,46674,"2005-09-23","(주)영화사봄","CJ ENM","18세관람가","멜로/로맨스","박진표","전도연"
"한길수",2534,0,15238000,27,15238000,2534,499,"2005-09-23","㈜트라이엄프픽쳐스","미디어라인코리아","12세관람가","범죄","이인수","안재모"
"강력 3반",828112,0.7,5053205500,174,5053205500,828112,19951,"2005-09-29","(주)씨네넷","롯데쇼핑㈜롯데엔터테인먼트","15세관람가","액션","손희창","김민준"
"사랑니",135563,0.1,867893000,144,867893000,135563,6887,"2005-09-29","(주)시네마서비스","(주)시네마서비스","15세관람가","멜로/로맨스","정지우","김정은"
"미스터 주부퀴즈왕",337772,0.3,2106892000,180,2106892000,337772,11295,"2005-09-30","폴스타엔터테인먼트","(주)쇼박스","12세관람가","코미디","유선동","공형진"
"내 생애 가장 아름다운 일주일",2290709,2.2,14710541000,296,14710541000,2290709,41058,"2005-10-07","(주)두사부필름","CJ ENM","15세관람가","멜로/로맨스","민규동","황정민"
"새드무비",902077,0.8,5628200500,262,5628200500,902077,21672,"2005-10-20","(주)아이필름홀딩스","롯데쇼핑㈜롯데엔터테인먼트","12세관람가","드라마","권종관","신민아"
"야수와 미녀",1339833,1.2,8378297000,202,8378297000,1339833,29108,"2005-10-27","시오필름(주)","(주)쇼박스","12세관람가","코미디","이계벽","류승범"
"오로라 공주",830538,0.8,5365343000,185,5365343000,830538,20738,"2005-10-27","(주)이스트필름","(주)시네마서비스","18세관람가","범죄","방은진","엄정화"
"사랑해, 말순씨",349118,0.3,2191787000,170,2191787000,349118,12364,"2005-11-03","블루스톰(주)","쇼이스트(주)","12세관람가","드라마","박흥식","김동영"
"미스터 소크라테스",1066103,1,6765653000,205,6765653000,1066103,22925,"2005-11-10","㈜커리지필름","롯데쇼핑㈜롯데엔터테인먼트","18세관람가","액션","최진원","김래원"
"러브토크",14320,0,92829500,42,92829500,14320,1352,"2005-11-11","(주)엘제이필름","CJ ENM","18세관람가","멜로/로맨스","이윤기","김지수"
"소년, 천국에 가다",207189,0.2,1258000500,193,1258000500,207189,7889,"2005-11-11","(주)싸이더스","(주)쇼박스","12세관람가","드라마","윤태용","염정아"
"무영검",519722,0.5,3306114500,264,3306114500,519722,18143,"2005-11-18","(주)태원엔터테인먼트","CJ ENM","12세관람가","액션","김영준","신현준"
"용서받지 못한 자",10790,0,71011000,15,70557000,10700,614,"2005-11-18","에이앤디픽쳐스","영화사청어람(주)","15세관람가","드라마","윤종빈","서장원"
"광식이 동생 광태",2024818,1.9,12811265009,276,12811265009,2024818,35769,"2005-11-23","(주)엠케이픽처스","(주)엠케이픽처스","15세관람가","코미디","김현석","김주혁"
"나의 결혼원정기",632553,0.6,3860195500,237,3860195500,632553,17821,"2005-11-23","튜브픽쳐스(주)","롯데쇼핑㈜롯데엔터테인먼트","12세관람가","드라마","황병국","정재영"
"6월의 일기",593867,0.5,3645962000,169,3645962000,593867,15249,"2005-12-01","(주)필름앤픽쳐스","(주)쇼박스","15세관람가","드라마","임경수","신은경"
"애인",98639,0.1,625824000,114,628418000,99124,5338,"2005-12-08","기획시대(주)","(주)쇼박스","18세관람가","멜로/로맨스","김태은","성현아"
"연애",16665,0,109587000,33,109587000,16665,1125,"2005-12-09","(주)필름나루","CJ ENM","18세관람가","드라마","오석근","김지숙"
"태풍",3471150,2.8,22209675300,481,22209675300,3471150,47155,"2005-12-14","CJ ENM","CJ ENM","15세관람가","드라마","곽경택","김혜정"
"작업의 정석",1853623,1.2,11706585100,260,11706585100,1853623,28423,"2005-12-21","영화사청어람(주)","(주)쇼박스","15세관람가","코미디","오기환","손예진"
"파랑주의보",237284,0.2,1453890000,128,1453890000,237284,6039,"2005-12-22","(주)아이필름홀딩스","아이러브시네마","12세관람가","드라마","전윤수","송혜교"
"왕의 남자",10513976,6,66018145400,313,66018064400,10513960,111179,"2005-12-29","(주)씨네월드","(주)시네마서비스","15세이상관람가","드라마","이준익","감우성"
"청연",496003,0.2,3106648400,164,3106648400,496003,9323,"2005-12-29","코리아픽쳐스(주)","코리아픽쳐스(주)","12세관람가","드라마","윤종찬","장진영"
"싸움의 기술",1146463,0.7,7331140000,216,7331140000,1146463,23079,"2006-01-05","코리아 엔터테인먼트","CJ ENM","15세관람가","코미디","신한솔","백윤식"
"야수",837011,0.5,5339725500,299,5339725500,837011,19254,"2006-01-12","㈜팝콘필름","(주)쇼박스","18세관람가","액션","김성수","최령"
"다섯 개의 시선",6593,0,43699000,15,43699000,6593,457,"2006-01-13","국가인권위원회","CJ ENM","12세관람가","다큐멘터리","정지우","류승룡"
"투사부일체",5074314,3.1,31959686000,407,31959686000,5074314,54339,"2006-01-19","(주)시네마제니스","CJ ENM","15세관람가","코미디","김동원","정준호"
"홀리데이",1257399,0.8,7885116000,170,7885116000,1257399,22092,"2006-01-19","(주)현진씨네마","롯데쇼핑㈜롯데엔터테인먼트","18세관람가","드라마","양윤호","이성재"
"사랑을 놓치다",468184,0.3,2961381000,146,2961381000,468184,10662,"2006-01-26","(주)시네마서비스","(주)시네마서비스","15세관람가","멜로/로맨스","추창민","설경구"
"백만장자의 첫사랑",563023,0.3,3375971500,208,3375971500,563023,15040,"2006-02-09","(주)에스씨에스엔터테인먼트","롯데쇼핑㈜롯데엔터테인먼트","12세관람가","멜로/로맨스","김태균","현빈"
"썬데이 서울",36865,0,227157000,84,227157000,36865,2748,"2006-02-09","필름놀이(주)","(주)시네마서비스","15세관람가","코미디","박성훈","봉태규"
"흡혈형사 나도열",1563579,0.9,9693558300,243,9693558300,1563579,30494,"2006-02-09","영화사청어람(주)","(주)쇼박스","15세관람가","코미디","이시명","김수로"
"달려라 장미",860,0,5488000,3,5488000,860,258,"2006-02-10","김응수필름","(주)이모션픽처스","18세관람가","멜로/로맨스","김응수","최반야"
"구세주",1621131,1,10087308700,206,10087308700,1621131,31939,"2006-02-16","㈜익영영화","쇼이스트(주)","15세관람가","코미디","김정우","최성국"
"신성일의 행방불명",1309,0,7500000,2,7500000,1309,93,"2006-02-16","신재인랜드","스폰지","15세관람가","드라마","신재인","조현식"
"눈부신 하루",1683,0,11103000,3,10873000,1633,121,"2006-02-23","㈜인디스토리","영화진흥위원회","15세관람가","드라마","김성호","김현아"
"손님은 왕이다",152791,0.1,975730600,147,975730600,152791,7447,"2006-02-23","조우필름(주)","(주)시네마서비스","18세관람가","드라마","오기현","명계남"
"음란서생",2304365,1.5,14944528700,347,14944528700,2304365,38964,"2006-02-23","(주)영화사비단길","CJ ENM","18세관람가","사극","김대우","한석규"
"데이지",911420,0.6,5754065300,299,5754065300,911420,23767,"2006-03-09","(주)아이필름홀딩스","(주)쇼박스","15세관람가","멜로/로맨스","유위강","전지현"
"로망스",371700,0.2,2376146100,173,2376146100,371700,13304,"2006-03-16","(주)엘제이필름","CJ ENM","18세관람가","멜로/로맨스","문승욱","조재현"
"방과후 옥상",773042,0.5,4817252500,173,4817252500,773042,20063,"2006-03-16","씨네온엔터테인먼트(주)","(주)시네마서비스","15세관람가","코미디","이석훈","봉태규"
"여교수의 은밀한 매력",606398,0.4,3926917300,203,3926917300,606398,16021,"2006-03-16","엔젤언더그라운드(주)","(주)엠케이픽처스","18세관람가","코미디","이하","문소리"
"청춘만화",1567514,1,9785168000,298,9785168000,1567514,32939,"2006-03-23","㈜팝콘필름","(주)쇼박스","12세관람가","코미디","이한","권상우"
"망종",2979,0,18678600,3,18678600,2979,209,"2006-03-24","(주)두엔터테인먼트","(주)동숭아트센터","18세관람가","드라마","장률","류연희"
"모두들, 괜찮아요?",4699,0,30810500,27,30810500,4699,580,"2006-03-24","(주)마술피리","CJ ENM","15세관람가","드라마","남선호","김유석"
"카리스마 탈출기",86027,0.1,532419300,141,532419300,86027,6003,"2006-03-30","태창엔터테인먼트(주)","CJ ENM","15세관람가","코미디","권남기","안재모"
"달콤, 살벌한 연인",2077590,1.3,13426707100,246,13426707100,2077590,38034,"2006-04-06","(주)싸이더스","CJ ENM","18세관람가","스릴러","손재곤","박용우"
"연리지",114641,0.1,696954300,165,696954300,114641,8009,"2006-04-13","(주)태원엔터테인먼트","(주)쇼박스","12세관람가","멜로/로맨스","김성중","최지우"
"피터팬의 공식",3046,0,18992000,10,18992000,3046,379,"2006-04-13","(주)엘제이필름","CJ ENM","18세관람가","드라마","조창호","윤범호"
"마이 캡틴 김대출",107913,0.1,663174000,165,663174000,107913,6329,"2006-04-20","(주)진인사필름","(주)스튜디오이쩜영","12세관람가","코미디","송창수","정재영"
"창공으로",25,0,166500,2,166500,25,9,"2006-04-21","㈜트라이엄프픽쳐스","㈜트라이엄프픽쳐스","12세관람가","드라마","이인수","정준"
"맨발의 기봉이",2005180,1.2,12239242400,271,12239242400,2005180,39975,"2006-04-26","(주)태원엔터테인먼트","(주)쇼박스","전체관람가","드라마","권수경","신현준"
"도마뱀",364848,0.2,2307824200,253,2307824200,364848,13919,"2006-04-27","(주)영화사아침","(주)시네마서비스","12세관람가","멜로/로맨스","강지은","강혜정"
"사생결단",1724709,1.1,10934307100,288,10934307100,1724709,33257,"2006-04-27","(주)엠케이픽처스","(주)씨제이이엔엠","18세관람가","액션","최호","류승범"
"국경의 남쪽",227304,0.1,1431751800,228,1431751800,227304,12643,"2006-05-04","(주)싸이더스","CJ ENM","12세관람가","드라마","안판석","차승원"
"공필두",160208,0.1,958576600,164,958576600,160208,8269,"2006-05-11","(주)키다리필름","(주)쇼박스","15세관람가","코미디","공정식","이문식"
"생, 날선생",234261,0.1,1438331800,157,1438331800,234261,8096,"2006-05-25","㈜필름지","(주)시네마서비스","15세관람가","코미디","김동욱","김효진"
